"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.882984450E-1,1.075091213E-1,-1.282779220E-2,1.901262105E-1
1.980120390E-1,2.125748396E-1,-5.192201585E-2,1.718007922E-1
2.077263610E-1,3.506263196E-1,-1.459924877E-1,1.559187621E-1
2.174398510E-1,5.253286362E-1,-2.754921019E-1,1.314848661E-1
2.271525590E-1,7.159129977E-1,-3.976615667E-1,1.009425074E-1
2.368661530E-1,9.052756429E-1,-4.734066129E-1,5.329642445E-2
2.465804760E-1,1.089751482E0,-5.063923597E-1,-2.122694254E-2
2.562939660E-1,1.268118858E0,-5.296045542E-1,-1.189625040E-1
2.660066740E-1,1.445264578E0,-5.479300022E-1,-2.374668717E-1
2.757202680E-1,1.606528282E0,-5.259394646E-1,-3.633013964E-1
2.854345910E-1,1.705485582E0,-3.585673273E-1,-4.683671296E-1
2.951480800E-1,1.668834686E0,1.649287529E-2,-5.025745630E-1
3.048608410E-1,1.472141862E0,5.418215394E-1,-4.390464723E-1
3.145743300E-1,1.180156946E0,1.003622055E0,-3.217637837E-1
3.242887050E-1,8.429692388E-1,1.190541267E0,-2.631224692E-1
3.340021950E-1,5.253286362E-1,1.105022669E0,-3.144336343E-1
3.437149550E-1,3.139754832E-1,9.584193230E-1,-4.085040987E-1
3.534285490E-1,2.015796006E-1,8.448017836E-1,-4.744756222E-1
3.631428720E-1,8.063183725E-2,6.517740488E-1,-4.879142344E-1
3.728563090E-1,-9.162709117E-2,3.231382072E-1,-4.414898455E-1
3.825690700E-1,-2.834331393E-1,-1.240019947E-1,-3.779617548E-1
3.922826640E-1,-4.618005157E-1,-6.163448691E-1,-3.217637837E-1
4.019969860E-1,-5.913001299E-1,-9.425373077E-1,-2.289150059E-1
4.117104760E-1,-6.230642200E-1,-1.083032131E0,-9.575030953E-2
4.214231840E-1,-5.644228458E-1,-1.105022669E0,-4.123218823E-3
4.311367780E-1,-5.167768002E-1,-9.193251133E-1,-1.756185852E-2
4.408511010E-1,-5.228852630E-1,-4.184303582E-1,-9.697200358E-2
4.505645910E-1,-4.691306949E-1,1.960819662E-1,-1.385096163E-1
4.602773510E-1,-2.736595869E-1,5.283828974E-1,-1.629435122E-1
4.699908410E-1,-3.909422457E-2,4.611896873E-1,-2.081461996E-1
4.797052160E-1,1.808107942E-1,2.522799075E-1,-2.496838123E-1
4.894187050E-1,4.483618736E-1,1.655396074E-1,-2.741177082E-1
4.991314660E-1,7.831062078E-1,1.777565479E-1,-2.509055138E-1
5.088450590E-1,1.121515512E0,2.620534599E-1,-1.714953631E-1
5.185593820E-1,1.392731786E0,6.077930331E-1,-2.977880463E-2
5.282728200E-1,1.566212416E0,1.232078910E0,1.620272398E-1
