"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.589896700E-2,-1.649851203E0,-1.582253933E0,-9.628418922E0
7.561344600E-2,-1.635494232E0,-1.591825247E0,-9.609276772E0
8.532704000E-2,-1.616351724E0,-1.594218135E0,-9.618847847E0
9.503985300E-2,-1.585245013E0,-1.610967875E0,-9.630811691E0
1.047535500E-1,-1.558923960E0,-1.625324726E0,-9.659525871E0
1.144679780E-1,-1.551745534E0,-1.646860242E0,-9.642776489E0
1.241815710E-1,-1.554138303E0,-1.642074585E0,-9.626026154E0
1.338944360E-1,-1.568495274E0,-1.639681697E0,-9.628418922E0
1.436081340E-1,-1.558923960E0,-1.630110383E0,-9.621240616E0
1.533225610E-1,-1.590030670E0,-1.634896040E0,-9.611669540E0
1.630361550E-1,-1.594816327E0,-1.649253011E0,-9.621240616E0
1.727490190E-1,-1.592423439E0,-1.656431437E0,-9.645169258E0
1.824627170E-1,-1.587637782E0,-1.666002750E0,-9.652347565E0
1.921771440E-1,-1.611566067E0,-1.658824325E0,-9.657133102E0
2.018908420E-1,-1.613958836E0,-1.642074585E0,-9.645169258E0
2.116036030E-1,-1.621137381E0,-1.622931957E0,-9.637990952E0
2.213173000E-1,-1.616351724E0,-1.627717614E0,-9.602098465E0
2.310317280E-1,-1.590030670E0,-1.618146300E0,-9.673882484E0
2.407453210E-1,-1.563709617E0,-1.620539188E0,-9.616455078E0
2.504581860E-1,-1.549352646E0,-1.632503271E0,-9.623633385E0
2.601718840E-1,-1.534995675E0,-1.649253011E0,-9.688240051E0
2.698863110E-1,-1.515853167E0,-1.646860242E0,-9.693025589E0
2.795999050E-1,-1.511067510E0,-1.654038668E0,-9.640383720E0
2.893127690E-1,-1.523031592E0,-1.644467354E0,-9.669096947E0
2.990264670E-1,-1.542174220E0,-1.622931957E0,-9.695418358E0
3.087408940E-1,-1.578066587E0,-1.603789330E0,-9.602098465E0
3.184544880E-1,-1.609173179E0,-1.587039590E0,-9.580562592E0
