"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.231324300E-2,-9.101698995E-1,-9.487542152E0,1.923231244E0
6.202990900E-2,-5.940182209E-1,-1.019641590E1,1.772184253E0
7.173990900E-2,-4.121637046E-1,-1.075424194E1,1.571187139E0
8.145287800E-2,-3.451646566E-1,-1.103180981E1,1.204786181E0
9.116506600E-2,-5.222335458E-1,-1.107488060E1,8.650053740E-1
1.008780340E-1,-8.551349640E-1,-1.086670494E1,5.129613280E-1
1.105918360E-1,-1.259821177E0,-1.058405304E1,2.832503915E-1
1.203047010E-1,-1.800599098E0,-1.026819992E1,1.800599098E-1
1.300168890E-1,-2.145464659E0,-1.002383327E1,-1.615155302E-2
1.397298570E-1,-2.035394669E0,-1.005015373E1,1.824527234E-1
1.494436590E-1,-1.858325839E0,-9.966405869E0,5.943173170E-1
1.591565760E-1,-1.764706731E0,-9.830014229E0,6.469594240E-1
1.688687640E-1,-1.733600020E0,-9.736694336E0,5.871388316E-1
1.785817320E-1,-1.630708575E0,-9.660123825E0,7.597211599E-1
1.882955340E-1,-1.532602906E0,-9.604789734E0,7.573283911E-1
1.980084510E-1,-1.666600943E0,-9.638588905E0,6.062814593E-1
2.077206390E-1,-1.738385677E0,-9.691230774E0,7.426723242E-1
2.174336070E-1,-1.721635938E0,-9.640981674E0,9.607182741E-1
2.271474090E-1,-1.795813441E0,-9.657731056E0,8.003991842E-1
2.368603260E-1,-1.894218206E0,-9.556933403E0,9.104689956E-1
2.465725140E-1,-1.841576099E0,-9.475577354E0,3.693920076E-1
2.562854300E-1,-1.695314884E0,-9.454042435E0,-3.391826153E-1
2.659992840E-1,-1.733600020E0,-9.525827408E0,-3.200400174E-1
2.757121490E-1,-1.573280931E0,-9.676874161E0,-1.597209126E-1
2.854243360E-1,-1.199701428E0,-1.006211853E1,-2.386840582E-1
2.951373050E-1,-1.137488008E0,-1.013629627E1,1.752742529E-1
3.048511070E-1,-1.080060363E0,-1.014108181E1,8.506484628E-1
3.145640240E-1,-1.149452209E0,-9.710372925E0,8.961120844E-1
3.242762110E-1,-1.642672777E0,-8.929715157E0,4.363910258E-1
3.339891800E-1,-2.334497690E0,-8.338388443E0,5.057829022E-1
3.437029820E-1,-2.962015390E0,-7.804490089E0,4.483551383E-1
3.534158990E-1,-2.825325251E0,-7.311269760E0,-6.960122585E-1
3.631280860E-1,-2.049751759E0,-7.115057945E0,-2.414956331E0
3.728410550E-1,-1.048953652E0,-6.978667259E0,-3.619144201E0
3.825548570E-1,-7.426723242E-1,-7.182057381E0,-4.433301926E0
