"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.994941230E-1,-2.718575716E0,1.942494214E-1,1.038134933E0
2.092074560E-1,-2.498670816E0,-4.291202128E-2,7.730271816E-1
2.189216750E-1,-2.420482159E0,-3.348970115E-1,5.347967744E-1
2.286350080E-1,-2.466906548E0,-4.362976551E-1,3.820849657E-1
2.383476130E-1,-2.481566906E0,-3.190149665E-1,3.234436214E-1
2.480609460E-1,-2.309308052E0,-3.558185324E-2,3.600944579E-1
2.577751650E-1,-1.969676971E0,2.663294077E-1,4.688252807E-1
2.674884980E-1,-1.575069666E0,4.764608741E-1,5.128062963E-1
2.772010500E-1,-1.198787689E0,5.558710098E-1,3.991886973E-1
2.869144880E-1,-8.554915786E-1,5.289937258E-1,2.108950168E-1
2.966286540E-1,-5.012001991E-1,4.911212027E-1,1.542389300E-2
3.063419880E-1,-1.163664013E-1,4.984513521E-1,-1.568350345E-1
3.160545400E-1,2.990097404E-1,5.351021886E-1,-2.826695740E-1
3.257679770E-1,7.314895988E-1,6.157340407E-1,-3.608580232E-1
3.354821440E-1,1.163969398E0,6.817055345E-1,-3.950654566E-1
3.451954250E-1,1.569724798E0,7.000309825E-1,-3.767400384E-1
3.549080290E-1,1.881256819E0,6.731536984E-1,-3.168770075E-1
3.646213630E-1,2.073062897E0,5.656445622E-1,-2.362451702E-1
3.743355810E-1,2.150029659E0,3.603998721E-1,-2.008160353E-1
3.840489150E-1,2.190345526E0,1.637070626E-1,-2.411319613E-1
3.937615190E-1,2.334505558E0,1.930277348E-1,-3.327590525E-1
4.034748520E-1,2.604500055E0,4.960079789E-1,-3.975088596E-1
4.131890710E-1,2.770650387E0,9.309312105E-1,-4.231644273E-1
4.229024040E-1,2.683910131E0,1.321873426E0,-4.439332485E-1
4.326149560E-1,2.387038469E0,1.494132400E0,-3.767400384E-1
4.423283940E-1,1.913020849E0,1.404948711E0,-2.496838123E-1
4.520425600E-1,1.259414315E0,1.097081661E0,-2.228065431E-1
4.617558940E-1,5.213581324E-1,4.618005157E-1,-3.645231128E-1
4.714684460E-1,-1.527118147E-3,-4.338542521E-1,-6.223006248E-1
4.811818830E-1,1.218640283E-1,-8.199097514E-1,-8.507575393E-1
4.908960500E-1,6.716265678E-1,-1.614163816E-1,-1.007134438E0
5.006093830E-1,9.367342591E-1,6.865923405E-1,-1.106091619E0
5.103219350E-1,7.449282408E-1,2.809897363E-1,-1.145185947E0
5.200353730E-1,1.731752008E-1,-1.032484531E0,-1.136633992E0
5.297495400E-1,-6.139015034E-2,-1.843689680E0,-7.957812548E-1
5.394628730E-1,3.002314270E-1,-1.763057947E0,1.265980899E-1
5.491754250E-1,1.029583097E0,-4.191939235E-1,1.111436605E0
5.588888630E-1,1.579498291E0,1.722589284E-1,1.631878495E0
5.686030290E-1,1.666238666E0,-5.694623590E-1,1.365549088E0
5.783163100E-1,1.542847514E0,-1.480846524E0,5.934380889E-1
5.880289150E-1,1.314390540E0,-1.868123651E0,8.093725890E-3
5.977423520E-1,1.337602735E0,-1.774053097E0,-1.739387512E-1
6.074565190E-1,1.660130143E0,-1.204743505E0,-1.507265568E-1
6.171698000E-1,2.000983000E0,-5.841227174E-1,-1.177408099E-1
6.268824040E-1,2.277085781E0,-1.748550236E-1,-1.776038408E-1
6.365958420E-1,2.503099442E0,1.759240031E-1,-3.107685447E-1
6.463100080E-1,2.735221386E0,4.679090083E-1,-3.681881726E-1
6.560232900E-1,2.960013151E0,6.646018028E-1,-2.997733057E-1
6.657358940E-1,3.083404303E0,8.454126120E-1,-2.191414535E-1
6.754493310E-1,3.087069273E0,1.016449809E0,-2.142546773E-1
6.851634980E-1,3.050418615E0,1.141062737E0,-2.350234836E-1
6.948767790E-1,3.021097898E0,1.204590797E0,-1.336228400E-1
7.045893830E-1,2.975895166E0,1.097081661E0,2.047865391E-1
7.143028210E-1,2.835400343E0,8.869501948E-1,6.007682681E-1
7.240169880E-1,2.548301935E0,7.207997441E-1,8.756495714E-1
7.337303210E-1,2.081614733E0,6.108472347E-1,9.843803644E-1
7.434428730E-1,1.413347840E0,5.314370990E-1,9.452861547E-1
7.531563100E-1,5.983248949E-1,3.286358118E-1,7.901309133E-1
7.628704770E-1,-2.800734639E-1,6.459710002E-2,4.981459379E-1
7.725838100E-1,-1.154806733E0,-5.024218559E-2,1.339282542E-1
7.822963630E-1,-1.953794956E0,-1.114796288E-2,-1.776038408E-1
7.920098000E-1,-2.591519594E0,-2.580829710E-2,-3.645231128E-1
8.017239670E-1,-3.082640648E0,-1.882936656E-1,-4.353813827E-1
8.114373000E-1,-3.499238491E0,-4.631749392E-1,-4.573718905E-1
8.211499040E-1,-3.866968632E0,-7.624900937E-1,-4.475983381E-1
8.308632380E-1,-4.218969345E0,-1.201078415E0,-3.914003670E-1
8.405774560E-1,-4.460865021E0,-2.002510071E0,-3.107685447E-1
8.502907900E-1,-4.508511066E0,-2.847922564E0,-2.557922900E-1
8.600033940E-1,-4.278832436E0,-3.229091406E0,-1.250709742E-1
8.697168310E-1,-3.996468306E0,-2.603583813E0,2.341072112E-1
8.794309980E-1,-3.923166513E0,-1.380667567E0,5.909947157E-1
8.891443310E-1,-3.908506155E0,-7.307260633E-1,8.121214509E-1
8.988569350E-1,-3.832761049E0,-4.986040890E-1,8.328902125E-1
9.085702690E-1,-3.838869572E0,-5.390727147E-2,7.156075835E-1
9.182844880E-1,-3.904841185E0,3.090887070E-1,6.911736727E-1
9.279978210E-1,-3.798553705E0,1.073564067E-1,7.400414348E-1
9.377104250E-1,-3.563988447E0,-2.823641598E-1,8.072346449E-1
9.474238630E-1,-3.318427801E0,-3.373403847E-1,8.573241234E-1
9.571380290E-1,-3.050876617E0,-1.357607991E-1,8.658760190E-1
9.668513630E-1,-2.725905895E0,1.305686086E-1,8.231166601E-1
9.765639670E-1,-2.348402262E0,4.544703662E-1,7.082774043E-1
9.862774040E-1,-1.922030926E0,6.975875497E-1,5.164713860E-1
9.959915710E-1,-1.511541486E0,7.928797603E-1,3.038965166E-1
1.005704904E0,-1.135259628E0,7.782194018E-1,1.498102844E-1
1.015417508E0,-7.601994276E-1,7.207997441E-1,7.773031294E-2
1.025130842E0,-3.778090179E-1,6.340594292E-1,2.764083818E-2
1.034845113E0,1.435491070E-2,5.595360994E-1,-3.833066672E-2
1.044558446E0,4.297310412E-1,5.583143830E-1,-1.116323397E-1
1.054270998E0,8.561024070E-1,6.548282504E-1,-1.702736765E-1
1.063984435E0,1.256971002E0,7.745543122E-1,-2.142546773E-1
1.073698654E0,1.580719948E0,8.270871639E-1,-2.496838123E-1
1.083411935E0,1.796959877E0,7.611156702E-1,-2.570139766E-1
