"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.762739600E-2,1.946006656E0,1.308434844E0,3.637595475E-1
6.734109400E-2,1.974105597E0,1.288887739E0,3.808632791E-1
7.705411500E-2,1.916685939E0,1.043327093E0,3.955236077E-1
8.676786500E-2,1.811620235E0,6.218425035E-1,3.918585181E-1
9.648250000E-2,1.704111099E0,9.147437662E-2,3.613161445E-1
1.061962500E-1,1.613705754E0,-4.069769979E-1,3.014531136E-1
1.159092190E-1,1.540404081E0,-7.233958840E-1,2.267770469E-1
1.256230730E-1,1.479319334E0,-8.211314082E-1,1.522536725E-1
1.353376560E-1,1.401130915E0,-7.490514517E-1,8.383878320E-2
1.450513540E-1,1.269187927E0,-5.987830162E-1,3.130592033E-2
1.547643750E-1,1.061347127E0,-3.935383558E-1,-2.000524849E-2
1.644781250E-1,7.901309133E-1,-9.422318637E-2,-8.475505561E-2
1.741927600E-1,5.274665952E-1,3.115321100E-1,-1.800472289E-1
1.839064580E-1,3.344388604E-1,7.574505806E-1,-2.863346636E-1
1.936194790E-1,2.257080674E-1,1.145949483E0,-3.828485310E-1
2.033332290E-1,1.695101112E-1,1.378071427E0,-4.622586668E-1
2.130478650E-1,1.365243644E-1,1.354859233E0,-5.050179958E-1
2.227616150E-1,8.399149776E-2,1.123958945E0,-4.915793240E-1
2.324745830E-1,3.359660041E-3,8.246437907E-1,-3.938437700E-1
2.421884370E-1,-6.749862432E-2,6.059604883E-1,-2.533488870E-1
2.519029690E-1,-1.725643575E-1,4.935645759E-1,-1.214058921E-1
2.616167190E-1,-4.071297050E-1,4.630222321E-1,-2.733541466E-2
2.713296870E-1,-7.907418013E-1,4.556920528E-1,-1.145338640E-2
2.810435420E-1,-1.220778227E0,3.872771561E-1,-6.398624927E-2
2.907581250E-1,-1.557965875E0,2.211267054E-1,-1.238492802E-1
3.004718230E-1,-1.732668281E0,1.695101149E-2,-1.788255423E-1
3.101848440E-1,-1.707012653E0,-1.443126649E-1,-2.619007528E-1
3.198985940E-1,-1.444348335E0,-2.615953386E-1,-3.339807391E-1
3.296132290E-1,-1.017976999E0,-3.642176688E-1,-3.706315756E-1
3.393269270E-1,-5.415160656E-1,-5.169295073E-1,-4.146125913E-1
3.490399480E-1,-1.408002973E-1,-7.966975570E-1,-4.695888162E-1
3.587536980E-1,1.801999472E-2,-1.188861489E0,-4.475983381E-1
3.684683330E-1,-2.153236568E-1,-1.588355541E0,-3.156553209E-1
3.781820830E-1,-7.504258752E-1,-1.774053097E0,-8.719844371E-2
3.878950520E-1,-1.245212078E0,-1.659213901E0,1.791309565E-1
3.976089060E-1,-1.448013425E0,-1.344016671E0,3.894151151E-1
4.073234370E-1,-1.411362648E0,-9.054283500E-1,4.712686539E-1
4.170371870E-1,-1.313627005E0,-1.528645307E-1,4.004103839E-1
4.267501560E-1,-1.130372882E0,6.145123243E-1,2.182251811E-1
4.364640100E-1,-9.825478196E-1,8.515210748E-1,1.229330078E-1
4.461785940E-1,-9.813261032E-1,1.155722976E0,2.953446507E-1
4.558922920E-1,-6.233696342E-1,1.440377831E0,7.290462255E-1
4.656053120E-1,6.933116168E-2,1.431825995E0,1.206728816E0
4.753190620E-1,5.653391480E-1,1.716480851E0,1.337450027E0
4.850336980E-1,7.094991207E-1,1.589424610E0,1.148087382E0
4.947473960E-1,4.895940721E-1,5.839699507E-1,8.817580342E-1
5.044604170E-1,4.245388508E-2,-6.073349118E-1,4.981459379E-1
5.141741670E-1,-3.118375242E-1,-9.286405444E-1,-7.498150319E-2
5.238888020E-1,-2.776300907E-1,-7.710419297E-1,-5.917583108E-1
5.336025520E-1,7.177454978E-2,-7.380561829E-1,-9.387195110E-1
5.433155210E-1,5.299099684E-1,-8.602256775E-1,-1.178171635E0
5.530293750E-1,9.184088707E-1,-9.090934396E-1,-1.246586561E0
5.627439060E-1,1.140757203E0,-6.403206587E-1,-1.082879424E0
5.724576560E-1,1.200773001E0,-1.919587553E-1,-7.566870451E-1
5.821706250E-1,1.210546613E0,1.930277348E-1,-3.901786804E-1
5.918844790E-1,1.214211583E0,4.398100376E-1,-6.032116711E-2
6.015990620E-1,1.211768270E0,5.534276366E-1,2.023431510E-1
6.113127600E-1,1.203216434E0,5.314370990E-1,3.613161445E-1
6.210257810E-1,1.179851532E0,3.261924386E-1,4.004103839E-1
6.307395310E-1,1.156639338E0,-4.291202128E-2,3.442124426E-1
6.404541670E-1,1.140757203E0,-4.753918648E-1,2.145601064E-1
6.501678650E-1,1.146865726E0,-8.199097514E-1,3.741439432E-2
6.598808850E-1,1.165191174E0,-9.677347541E-1,-1.226275861E-1
6.695946350E-1,1.181073189E0,-8.773293495E-1,-2.399102598E-1
6.793092710E-1,1.156639338E0,-6.097782850E-1,-2.924431264E-1
6.890230210E-1,1.056460381E0,-3.300102353E-1,-2.667875290E-1
6.987359900E-1,9.037485123E-1,-1.394258887E-1,-2.020377368E-1
7.084498440E-1,7.412631512E-1,-1.527118147E-4,-1.507265568E-1
7.181643750E-1,5.983248949E-1,1.759240031E-1,-1.324011385E-1
7.278781250E-1,4.908157587E-1,3.872771561E-1,-1.446180940E-1
7.375910940E-1,4.114056230E-1,5.717530251E-1,-1.776038408E-1
7.473049480E-1,3.405473530E-1,6.853706241E-1,-2.142546773E-1
7.570195310E-1,2.855710983E-1,7.134696245E-1,-2.386885732E-1
7.667332290E-1,2.965663373E-1,6.536065936E-1,-2.203631550E-1
7.764462500E-1,3.759764731E-1,5.668662786E-1,-1.702736765E-1
7.861600000E-1,4.431696832E-1,5.497625470E-1,-7.986827940E-2
7.958746350E-1,4.126273096E-1,6.132906675E-1,2.886253223E-2
