"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.650364800E-2,-2.128714800E0,-2.446661234E0,-1.190518951E1
6.621729400E-2,-2.200499535E0,-2.190330029E0,-1.221177006E1
7.593172100E-2,-2.260320187E0,-1.287936807E0,-1.236730385E1
8.564531500E-2,-2.078465462E0,-7.468597889E-1,-1.262094307E1
9.535817900E-2,-1.570888042E0,-3.445664644E-1,-1.254676533E1
1.050718770E-1,-1.242772222E0,-2.871387303E-1,-1.213011551E1
1.147863040E-1,-1.092024446E0,-5.240281820E-1,-1.199133110E1
1.244998980E-1,-1.075274706E0,-1.060319543E0,-1.198176003E1
1.342127100E-1,-1.341177106E0,-1.701895118E0,-1.146221828E1
1.439264080E-1,-1.463211060E0,-2.298007011E0,-1.153878880E1
1.536408350E-1,-1.499103427E0,-2.685943365E0,-1.107458115E1
1.633544290E-1,-1.832004786E0,-2.673979282E0,-1.119900799E1
1.730672940E-1,-2.025823355E0,-2.501696110E0,-1.162762260E1
1.827809920E-1,-2.083251238E0,-2.226222277E0,-1.122772217E1
1.924954190E-1,-2.324926376E0,-2.113759756E0,-1.077039337E1
2.022089600E-1,-2.202892303E0,-1.735394597E0,-1.089482021E1
2.119218250E-1,-2.200499535E0,-1.807478428E0,-1.021017456E1
2.216355230E-1,-1.858325839E0,-2.161616087E0,-1.018624592E1
2.313499500E-1,-1.084846020E0,-2.434697151E0,-1.070100212E1
2.410635440E-1,-4.791627228E-1,-2.592623234E0,-1.043270683E1
2.507764080E-1,-2.614158690E-1,-2.860619545E0,-9.415457726E0
2.604900020E-1,-3.858426586E-2,-3.243770123E0,-9.587740898E0
2.702044810E-1,-1.944168359E-1,-3.686741590E0,-9.815059662E0
2.799180750E-1,-9.628120065E-1,-3.921238184E0,-1.003789139E1
2.896309400E-1,-1.851147413E0,-3.894917011E0,-1.031067276E1
2.993446370E-1,-3.017050266E0,-3.875774384E0,-1.015513897E1
3.090590650E-1,-3.996013880E0,-3.947559118E0,-9.980463028E0
3.187726580E-1,-4.252345085E0,-4.342673779E0,-9.982855797E0
3.284854710E-1,-3.869194269E0,-4.881358147E0,-9.345767021E0
3.381991690E-1,-3.567698479E0,-5.096712112E0,-9.420243263E0
3.479135960E-1,-2.638685226E0,-5.029713154E0,-9.858130455E0
3.576271900E-1,-2.133500576E0,-5.432006359E0,-8.136793137E0
3.673400540E-1,-2.418545485E0,-5.827121258E0,-7.818548203E0
3.770537520E-1,-2.540579557E0,-5.965905190E0,-7.921439171E0
3.867681790E-1,-2.743969440E0,-6.301199436E0,-7.344470024E0
3.964817210E-1,-2.904288530E0,-6.636194706E0,-7.112366199E0
4.061945850E-1,-2.547757864E0,-6.765407085E0,-7.674978733E0
4.159082830E-1,-2.238784790E0,-6.914061069E0,-7.811369419E0
4.256227100E-1,-2.068894386E0,-7.227520943E0,-7.607680321E0
4.353363040E-1,-2.145464659E0,-7.806882858E0,-6.978068829E0
4.450491690E-1,-2.224427700E0,-7.802097321E0,-6.360421658E0
4.547627620E-1,-2.475973129E0,-7.596314430E0,-6.319743633E0
4.644772420E-1,-2.449652195E0,-7.292127132E0,-6.396314144E0
4.741908350E-1,-2.420938253E0,-6.844669342E0,-6.192924023E0
4.839037000E-1,-1.870290041E0,-6.212365627E0,-5.716453075E0
4.936173980E-1,-9.221340418E-1,-5.649753571E0,-5.575276852E0
5.033318250E-1,-3.403790295E-1,-5.867799282E0,-5.635097504E0
5.130454190E-1,-2.542374134E-1,-7.122236729E0,-5.137091160E0
5.227582310E-1,-2.709871531E-1,-7.660920620E0,-4.524229527E0
5.324719290E-1,-5.270192027E-1,-7.766204834E0,-4.251148701E0
5.421863560E-1,-7.785646915E-1,-8.113463402E0,-4.217648983E0
5.518999500E-1,-9.101698995E-1,-7.900203228E0,-4.019044876E0
5.616128150E-1,-9.149555564E-1,-7.124629498E0,-4.081258297E0
5.713265120E-1,-1.080060363E0,-6.698407650E0,-4.119543076E0
5.810409400E-1,-1.250249863E0,-6.866204739E0,-3.674179077E0
5.907545330E-1,-1.326820135E0,-7.091129780E0,-2.877070189E0
6.004673460E-1,-7.450651526E-1,-7.344769001E0,-2.822035313E0
6.101810440E-1,4.881358147E-1,-7.464709282E0,-2.989532709E0
6.198954710E-1,1.476670623E0,-7.622635841E0,-2.201995134E0
6.296090650E-1,1.022034407E0,-8.635397911E0,-2.379063845E0
6.393219290E-1,-2.805584669E-1,-9.317651749E0,-2.228316069E0
6.490356270E-1,-6.035895348E-1,-8.865108490E0,-1.196411371E0
6.587500540E-1,-3.332005441E-1,-8.530113220E0,-1.450050473E0
6.684636480E-1,1.049850956E-1,-8.290532112E0,-2.410170555E0
6.781764600E-1,2.916252613E-1,-7.938787460E0,-2.841177702E0
6.878901580E-1,-1.226321608E-2,-7.572386265E0,-3.094816923E0
6.976045850E-1,-7.881359458E-1,-7.351947784E0,-3.171387196E0
7.073181790E-1,-1.774278045E0,-7.100701332E0,-3.322434187E0
7.170310440E-1,-2.825325251E0,-6.985845566E0,-2.731107950E0
7.267447420E-1,-3.620340586E0,-6.832705021E0,-2.240280151E0
7.364591690E-1,-3.761517286E0,-6.887740135E0,-1.885843396E0
7.461727620E-1,-3.081656456E0,-7.162914753E0,-1.940878272E0
7.558855750E-1,-2.418545485E0,-7.371089935E0,-3.511467278E-1
7.655992730E-1,-1.666600943E0,-7.174878597E0,-7.031907439E-1
7.753137000E-1,-1.456032634E0,-6.696014881E0,-1.246660590E0
7.850273980E-1,-2.538186550E0,-7.055237770E0,-1.701596022E0
7.947401580E-1,-3.790230989E0,-7.256234646E0,-1.857129455E0
8.044538560E-1,-4.343272209E0,-7.603493214E0,-1.715952992E0
8.141682830E-1,-4.068097591E0,-8.364709854E0,-1.205982566E0
8.238818770E-1,-2.911466837E0,-9.339186668E0,-6.640082598E-2
8.335947420E-1,-1.034596682E0,-1.052183914E1,8.075776696E-1
8.433084400E-1,5.312066078E-1,-1.124477100E1,1.240678549E0
8.530228670E-1,1.599003673E0,-1.169970608E1,8.865407705E-1
8.627364600E-1,1.589432478E0,-1.225514030E1,9.128618240E-1
8.724493250E-1,1.136889815E0,-1.348086357E1,9.511470199E-1
8.821630230E-1,-2.039881349E-1,-1.363191032E1,1.384546995E0
8.918774500E-1,-1.508674622E0,-1.357209015E1,1.863111496E0
9.015910440E-1,-2.097608089E0,-1.340190029E1,1.954337835E0
9.113039080E-1,-2.176571369E0,-1.265025520E1,2.004587173E0
9.210176060E-1,-1.920539260E0,-1.164945698E1,2.038086653E0
9.307320330E-1,-2.028216362E0,-1.038066292E1,1.882553220E0
9.404456270E-1,-2.155035973E0,-9.427721024E0,1.650150299E0
9.501584920E-1,-2.188535452E0,-8.910572052E0,1.247856975E0
9.598721900E-1,-2.214856386E0,-8.640183449E0,1.097109199E0
9.695866170E-1,-2.327319145E0,-8.611469269E0,9.870393276E-1
9.793002100E-1,-2.236391783E0,-8.585148811E0,6.326025128E-1
9.890130750E-1,-2.095215321E0,-8.635397911E0,5.344967842E-1
9.987267730E-1,-1.802991867E0,-8.630612373E0,6.014958024E-1
1.008441200E0,-1.599601984E0,-8.656932831E0,4.339981973E-1
1.018154794E0,-1.527817249E0,-8.728717804E0,5.297111273E-1
1.027867658E0,-1.465603828E0,-8.987142563E0,9.176474810E-1
1.037581356E0,-1.336391449E0,-9.243474007E0,9.511470199E-1
1.047295783E0,-1.211665511E0,-9.468399048E0,7.597211599E-1
1.057009377E0,-9.867402315E-1,-9.770194054E0,6.708876491E-1
1.066722242E0,-7.259225845E-1,-1.015065289E1,6.828517914E-1
1.076435940E0,-3.427718580E-1,-1.062712383E1,5.775675774E-1
1.086150419E0,4.516452923E-2,-1.116580772E1,6.134598851E-1
1.095864012E0,1.839482337E-1,-1.152981567E1,8.219345808E-1
1.105576877E0,3.798605874E-2,-1.173081303E1,1.159322619E0
1.115290575E0,-1.680957973E-1,-1.170209885E1,1.290927768E0
1.125005002E0,-3.547359705E-1,-1.143410301E1,1.063609719E0
1.134718596E0,-6.323033571E-1,-1.074227810E1,7.836494446E-1
