"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.804760480E-1,1.910577536E0,-4.949389994E-1,4.352286831E-2
1.901897980E-1,1.922794461E0,-5.291464329E-1,-4.566083103E-2
1.999042770E-1,1.978992462E0,-5.083776116E-1,-4.077405483E-2
2.096179750E-1,2.068176031E0,-4.619532526E-1,7.635590737E-4
2.193308910E-1,2.103605270E0,-4.839437306E-1,6.062658876E-2
2.290446410E-1,2.087723255E0,-5.548020005E-1,1.119377613E-1
2.387591200E-1,2.084058046E0,-5.975613594E-1,1.094943732E-1
2.484728700E-1,2.112157106E0,-5.767925382E-1,4.352286831E-2
2.581857350E-1,2.147586346E0,-4.986040890E-1,-2.489202656E-2
2.678994850E-1,2.196454048E0,-3.849864900E-1,-5.909947306E-2
2.776139640E-1,2.290524483E0,-2.078407854E-1,-5.787777901E-2
2.873277140E-1,2.421245813E0,-1.114796288E-2,-3.344388679E-2
2.970405790E-1,2.572736025E0,1.293469071E-1,2.275406010E-2
3.067543290E-1,2.685131788E0,2.052446753E-1,8.261708915E-2
3.164688600E-1,2.744994879E0,2.223484069E-1,1.327065676E-1
3.261825060E-1,2.755990028E0,1.869192570E-1,1.705790907E-1
3.358954230E-1,2.733999729E0,1.466033459E-1,1.815743446E-1
3.456091730E-1,2.707122326E0,1.747023165E-1,1.461452097E-1
3.553236520E-1,2.720561028E0,1.820324808E-1,1.082726792E-1
3.650374020E-1,2.751103401E0,1.305686086E-1,8.139539510E-2
3.747502660E-1,2.753546715E0,6.581879407E-2,6.429167092E-2
3.844640160E-1,2.698570490E0,-3.558185324E-2,3.497100621E-2
3.941784950E-1,2.566627502E0,-2.640387416E-1,1.786728203E-2
4.038922450E-1,2.442014694E0,-4.998257756E-1,6.872031838E-3
4.136051100E-1,2.407807112E0,-6.610894203E-1,-5.543438718E-2
4.233188600E-1,2.439571142E0,-7.893673778E-1,-1.898207814E-1
4.330333390E-1,2.470113516E0,-8.699992299E-1,-3.657447994E-1
4.427470890E-1,2.503099442E0,-9.579612017E-1,-4.769189954E-1
4.524599540E-1,2.516537905E0,-9.897252917E-1,-4.940227270E-1
4.621737040E-1,2.521424770E0,-9.286405444E-1,-4.561502039E-1
4.718881830E-1,2.515316248E0,-8.956547976E-1,-4.048390090E-1
