"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.668553000E-2,-4.745565414E0,-6.080760479E0,-4.469194412E0
6.639870700E-2,-4.513162613E0,-6.418447495E0,-4.186542511E0
7.611099800E-2,-3.921836376E0,-6.686443806E0,-4.141078472E0
8.582256100E-2,-2.796611547E0,-6.770192623E0,-4.157828331E0
9.553490500E-2,-1.398604870E0,-6.808477879E0,-4.462016106E0
1.052481340E-1,1.169492081E-1,-6.842276573E0,-4.648656368E0
1.149604260E-1,5.814558864E-1,-6.791728020E0,-4.493122578E0
1.246720400E-1,-1.827219248E0,-6.279664040E0,-4.150650024E0
1.343843840E-1,-4.216452599E0,-5.721837044E0,-3.667000771E0
1.440975610E-1,-4.783850670E0,-5.604289532E0,-3.353540897E0
1.538099050E-1,-4.599304199E0,-5.726622581E0,-3.343969584E0
1.635214670E-1,-3.840480328E0,-5.760122299E0,-4.098007679E0
1.732338110E-1,-3.320938826E0,-5.168796062E0,-5.397908688E0
1.829470400E-1,-2.954836845E0,-4.857429981E0,-5.431707382E0
1.926593320E-1,-2.720041037E0,-4.902893543E0,-4.162613869E0
2.023708940E-1,-2.336890459E0,-6.042475224E0,-3.020639420E0
2.120832380E-1,-2.492722988E0,-6.344270229E0,-2.628216505E0
2.217964670E-1,-2.140678883E0,-6.849454880E0,-2.587239504E0
2.315087590E-1,-1.554138303E0,-7.873881817E0,-2.326421738E0
2.412203210E-1,-2.071287155E0,-8.443673134E0,-2.079961061E0
2.509326650E-1,-3.148655415E0,-8.735896111E0,-1.476371527E0
2.606458940E-1,-4.319344044E0,-9.049356461E0,-8.826524615E-1
2.703581860E-1,-5.691029549E0,-9.262616158E0,-1.421336651E0
2.800697480E-1,-6.481259346E0,-8.496614456E0,-2.596810818E0
2.897821960E-1,-5.602495193E0,-8.585148811E0,-2.893819809E0
2.994953210E-1,-4.733601570E0,-9.092725754E0,-2.386242390E0
3.092076130E-1,-4.494019985E0,-9.540184021E0,-1.591526151E0
3.189192280E-1,-4.388735771E0,-9.700801849E0,-6.242275834E-1
3.286315710E-1,-4.182952881E0,-1.013868904E1,-2.123630047E-1
3.383447480E-1,-3.785445452E0,-1.038784122E1,-2.554338276E-1
3.480570400E-1,-3.232404232E0,-1.060319519E1,-3.487538993E-1
3.577686550E-1,-2.545365095E0,-1.061994553E1,-8.554340899E-2
3.674809980E-1,-2.229213476E0,-1.021077251E1,-5.644070506E-1
3.771941760E-1,-2.523829699E0,-9.442078590E0,-1.043270707E0
3.869065190E-1,-3.076870918E0,-8.659325600E0,-1.033699393E0
3.966180820E-1,-4.130311012E0,-7.869096279E0,-9.305089116E-1
4.063304260E-1,-4.970490932E0,-7.349554539E0,-7.845467329E-1
4.160436550E-1,-4.822135925E0,-7.392924786E0,-6.361917257E-1
4.257559460E-1,-4.127918243E0,-7.854739666E0,-3.921238184E-1
4.354675090E-1,-3.356831074E0,-8.388637543E0,1.704886109E-1
4.451798530E-1,-2.993122101E0,-8.633005142E0,5.679962635E-1
4.548930820E-1,-2.636292458E0,-8.862715721E0,3.813561201E-1
4.646053730E-1,-2.324926376E0,-9.152546883E0,2.880360186E-1
4.743169360E-1,-2.428116798E0,-9.396614075E0,4.459623098E-1
4.840292800E-1,-3.131905794E0,-9.384650230E0,3.813561201E-1
4.937425090E-1,-3.797409534E0,-9.312865257E0,3.598206937E-1
5.034548010E-1,-4.058526516E0,-9.274580956E0,-4.247260094E-2
5.131663630E-1,-4.199702740E0,-9.059226990E0,-4.926223755E-1
5.228788110E-1,-4.331307888E0,-9.078369141E0,-4.064807594E-1
5.325919360E-1,-4.424628258E0,-9.229117393E0,7.716853172E-2
5.423042280E-1,-4.304986954E0,-9.489934921E0,8.913264424E-2
5.520157900E-1,-3.957728624E0,-9.645767212E0,-6.161518395E-2
5.617282380E-1,-3.536591768E0,-9.863513947E0,1.130608693E-1
5.714413630E-1,-2.990729094E0,-9.983155251E0,-2.333002165E-2
5.811536550E-1,-2.772683144E0,-9.942477226E0,-4.184448719E-1
5.908652170E-1,-2.825325251E0,-9.822835922E0,-4.375874400E-1
6.005776650E-1,-3.000300407E0,-9.729516029E0,-1.812563092E-1
6.102907900E-1,-3.282653570E0,-9.595218658E0,-7.597211748E-2
6.200030820E-1,-3.601198196E0,-9.427721024E0,-1.022931710E-1
6.297146960E-1,-3.694518089E0,-9.265008926E0,-1.070788130E-1
6.394270400E-1,-3.728017569E0,-9.353543282E0,-2.793620527E-1
6.491402170E-1,-3.586841106E0,-9.279366493E0,-5.859424472E-1
6.588525610E-1,-3.431008577E0,-9.293723106E0,-7.151548862E-1
6.685641230E-1,-3.270689487E0,-9.300901413E0,-6.888338327E-1
6.782764670E-1,-3.385545015E0,-9.324830055E0,-8.276175261E-1
6.879896960E-1,-3.536591768E0,-9.245866776E0,-7.031907439E-1
6.977019880E-1,-3.531806231E0,-9.255437851E0,1.010967568E-1
7.074135510E-1,-3.665804386E0,-8.905786514E0,7.211369276E-1
7.171258940E-1,-3.751945972E0,-8.491529465E0,8.434699774E-1
7.268391230E-1,-3.739981890E0,-8.094321251E0,1.752742529E-1
7.365514150E-1,-3.766302824E0,-7.565207958E0,-1.344766378E0
7.462629780E-1,-3.933800459E0,-7.024130821E0,-3.142673492E0
7.559753210E-1,-4.046263218E0,-6.715157509E0,-3.885046721E0
7.656885510E-1,-4.338486671E0,-6.334698677E0,-3.497110367E0
7.754008420E-1,-4.503591537E0,-6.327520370E0,-3.080460072E0
7.851124050E-1,-4.276273251E0,-6.303592205E0,-2.704786777E0
7.948248530E-1,-3.917050600E0,-6.408876419E0,-2.309672117E0
