"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.216313400E-2,1.933026195E0,-1.349514365E0,1.137702987E-1
5.187553000E-2,2.255553484E0,-1.187028885E0,-2.209739983E-1
6.158870700E-2,2.257996798E0,-1.169925213E0,-1.085781008E-1
7.130099800E-2,2.303199530E0,-1.074633002E0,-1.328592747E-2
8.101256100E-2,2.352067471E0,-9.927794933E-1,4.169032723E-2
9.072490500E-2,2.382609844E0,-9.585720897E-1,3.191677108E-2
1.004381340E-1,2.377722979E0,-9.109259844E-1,-6.948387623E-2
1.101504260E-1,2.334963560E0,-8.388460279E-1,-2.759502530E-1
1.198620400E-1,2.273878813E0,-7.850914598E-1,-5.166240931E-1
1.295743840E-1,2.238449812E0,-7.643226385E-1,-6.216897964E-1
1.392875610E-1,2.286095858E0,-7.227849960E-1,-5.691569448E-1
1.489999050E-1,2.343515396E0,-7.301151752E-1,-4.530959427E-1
1.587114670E-1,2.361840963E0,-7.875348330E-1,-3.639122546E-1
1.684238110E-1,2.304421186E0,-8.351809382E-1,-3.333698809E-1
1.781370400E-1,2.138270855E0,-8.034168482E-1,-3.150444627E-1
1.878493320E-1,1.955016613E0,-7.288935184E-1,-2.954973578E-1
1.975608940E-1,1.853615999E0,-6.714738607E-1,-3.089359999E-1
2.072732380E-1,1.816965222E0,-6.714738607E-1,-3.822376728E-1
2.169864670E-1,1.809635043E0,-6.946860552E-1,-4.433223903E-1
2.266987590E-1,1.790087938E0,-6.922426820E-1,-5.288410187E-1
2.364103210E-1,1.790087938E0,-6.336013079E-1,-6.791094542E-1
2.461226650E-1,1.829182148E0,-5.163186193E-1,-8.110524416E-1
2.558358940E-1,1.896375299E0,-3.831539452E-1,-8.745805621E-1
2.655481860E-1,1.946464777E0,-2.951919436E-1,-8.660287261E-1
2.752597480E-1,1.902483821E0,-2.756448388E-1,-7.634063363E-1
2.849721960E-1,1.739998460E0,-2.695363462E-1,-5.532749295E-1
2.946853210E-1,1.486954927E0,-2.658712566E-1,-3.553603888E-1
3.043976130E-1,1.190083146E0,-3.232909143E-1,-2.148655206E-1
3.141092280E-1,9.518527389E-1,-4.222481549E-1,-1.256818175E-1
3.238215710E-1,8.064711094E-1,-5.089884996E-1,-6.704048812E-2
3.335347480E-1,7.356128097E-1,-5.187620521E-1,-3.038965166E-2
3.432470400E-1,7.368345261E-1,-4.417952895E-1,-1.450762246E-2
3.529586550E-1,7.844805717E-1,-3.025220931E-1,-3.161134571E-2
3.626709980E-1,8.321266770E-1,-1.913478971E-1,-1.049130186E-1
3.723841760E-1,8.247964978E-1,-1.327065676E-1,-2.063136548E-1
3.820965190E-1,7.832589149E-1,-1.290414780E-1,-2.930539846E-1
3.918080820E-1,7.356128097E-1,-1.290414780E-1,-3.382566571E-1
4.015204260E-1,6.940752268E-1,-1.009425074E-1,-2.918322682E-1
4.112336550E-1,6.769714952E-1,-6.795676053E-2,-1.733279079E-1
4.209459460E-1,6.562026739E-1,-6.673506647E-2,-6.093201414E-2
4.306575090E-1,6.146650314E-1,-6.551336497E-2,-4.734066315E-3
4.403698530E-1,5.780141950E-1,-9.239064902E-2,-4.734066315E-3
4.500830820E-1,5.755708218E-1,-1.241547018E-1,-1.939439960E-2
4.597953730E-1,5.767925382E-1,-7.650861889E-2,-4.504998401E-2
4.695069360E-1,5.596888065E-1,1.145338640E-2,-9.513945878E-2
4.792192800E-1,5.291464329E-1,7.788302377E-3,-1.562241912E-1
4.889325090E-1,4.937172830E-1,-9.361234307E-2,-1.855448484E-1
4.986448010E-1,4.570664763E-1,-1.766875684E-1,-1.769929975E-1
5.083563630E-1,4.008685052E-1,-1.779092699E-1,-1.488940120E-1
5.180688110E-1,3.092414141E-1,-1.473668963E-1,-9.391776472E-2
5.277819360E-1,1.919587553E-1,-1.278197914E-1,-2.550287358E-2
5.374942280E-1,7.589777559E-2,-1.510319859E-1,4.046862945E-2
5.472057900E-1,-2.061609551E-2,-2.084516287E-1,8.200624585E-2
5.569182380E-1,-7.559234649E-2,-2.206685692E-1,1.003316641E-1
5.666313630E-1,-8.292251825E-2,-1.485885978E-1,9.177979827E-2
5.763436550E-1,-8.414421231E-2,-2.031067200E-2,4.657710344E-2
5.860552170E-1,-1.159082651E-1,1.116323397E-1,3.817795310E-3
5.957676650E-1,-1.782146841E-1,2.154763639E-1,-3.038965166E-2
6.054807900E-1,-2.441861928E-1,2.875563502E-1,-5.604523420E-2
6.151930820E-1,-3.028275371E-1,3.217637837E-1,-6.459710002E-2
6.249046960E-1,-3.639122546E-1,3.352024257E-1,-5.482354015E-2
6.346170400E-1,-4.494308829E-1,3.413109183E-1,-3.894151375E-2
6.443302170E-1,-5.593833923E-1,3.425326049E-1,-1.572931744E-2
6.540425610E-1,-7.010999322E-1,3.303156495E-1,1.359135192E-2
6.637541230E-1,-8.806890249E-1,2.887780368E-1,3.680354729E-2
6.734664670E-1,-1.081046939E0,2.179197669E-1,4.779879749E-2
6.831796960E-1,-1.286291599E0,1.372879148E-1,5.512896553E-2
6.928919880E-1,-1.475654244E0,4.932591692E-2,5.390727147E-2
7.026035510E-1,-1.602710485E0,-1.908897609E-2,3.191677108E-2
7.123158940E-1,-1.654021621E0,-7.284353673E-2,1.481304597E-2
7.220291230E-1,-1.674790502E0,-1.119377613E-1,1.114796288E-2
7.317414150E-1,-1.726101637E0,-1.217113137E-1,2.214321308E-2
7.414529780E-1,-1.856822968E0,-9.116895497E-2,5.757235363E-2
7.511653210E-1,-2.076727867E0,-1.542389300E-2,1.259872466E-1
7.608785510E-1,-2.317401886E0,2.977880463E-2,2.212794125E-1
7.705908420E-1,-2.516537905E0,-2.886253223E-2,3.568875194E-1
7.803024050E-1,-2.635042429E0,-6.795676053E-2,4.998257756E-1
7.900148530E-1,-2.654589415E0,2.244863659E-2,6.354338527E-1
7.997279780E-1,-2.586174488E0,2.704526186E-1,7.308787704E-1
8.094403210E-1,-2.420024157E0,5.734328628E-1,7.211052179E-1
8.191518840E-1,-2.157359838E0,8.251019120E-1,5.780141950E-1
8.288642280E-1,-1.851936221E0,8.996253014E-1,3.532224298E-1
8.385774050E-1,-1.578276634E0,7.163711190E-1,1.211004704E-1
8.482897480E-1,-1.417012930E0,4.537068009E-1,-6.093201414E-2
8.580013110E-1,-1.381583810E0,3.229855001E-1,-1.562241912E-1
8.677136550E-1,-1.458550572E0,3.657447994E-1,-1.317902952E-1
8.774268840E-1,-1.639361382E0,5.221216679E-1,6.261184346E-3
8.871391760E-1,-1.866596460E0,7.212579250E-1,1.956238300E-1
8.968507380E-1,-2.038855553E0,9.387195110E-1,3.666610718E-1
9.065631860E-1,-2.109713793E0,1.151294351E0,4.888305068E-1
9.162763110E-1,-2.085279942E0,1.206270576E0,5.279247165E-1
9.259886030E-1,-2.035190344E0,1.162289619E0,4.631749392E-1
9.357001650E-1,-2.018086672E0,1.097539783E0,3.006895781E-1
9.454126130E-1,-2.020529985E0,9.778137207E-1,1.406475753E-1
9.551257380E-1,-2.032747030E0,9.484930634E-1,6.123743951E-2
9.648380820E-1,-2.076727867E0,1.130525589E0,5.146388337E-2
9.745496440E-1,-2.108492136E0,1.442057610E0,1.064401343E-1
9.842619880E-1,-2.060845852E0,1.736486077E0,2.457133085E-1
9.939752170E-1,-1.982657433E0,1.907523274E0,4.485146105E-1
1.003687509E0,-1.970440507E0,2.096885920E0,6.085565686E-1
1.013399071E0,-2.032747030E0,2.250819445E0,6.844543815E-1
1.023111519E0,-2.136590958E0,2.186069727E0,6.771242023E-1
1.032824644E0,-2.212336063E0,2.059013367E0,5.938962698E-1
1.042536988E0,-2.168354988E0,1.935622215E0,4.485146105E-1
1.052248551E0,-2.016865015E0,1.763363361E0,2.457133085E-1
1.061960894E0,-1.847049356E0,1.620425105E0,2.580829710E-2
1.071674123E0,-1.661351800E0,1.500699043E0,-1.415638477E-1
1.081386415E0,-1.496423125E0,1.336991906E0,-2.197522968E-1
1.091097978E0,-1.449998736E0,1.025459886E0,-2.185306102E-1
1.100810426E0,-1.553842664E0,7.188144922E-1,-1.733279079E-1
1.110523551E0,-1.701667786E0,5.526640415E-1,-6.826218218E-2
1.120235842E0,-1.768860936E0,4.915793240E-1,8.444963396E-2
1.129947457E0,-1.767639279E0,4.097257853E-1,2.066190839E-1
1.139659801E0,-1.795738220E0,2.973299026E-1,2.310529798E-1
1.149373030E0,-1.836054206E0,9.452861547E-2,2.261662036E-1
1.159085321E0,-1.861709714E0,-8.383878320E-2,2.225011140E-1
1.168796884E0,-1.831167340E0,-1.925695986E-1,2.237228155E-1
1.178509332E0,-1.815285325E0,-2.304421216E-1,2.286095917E-1
1.188222457E0,-1.873926640E0,-2.023431510E-1,2.261662036E-1
1.197934801E0,-1.978992462E0,-2.157817930E-1,2.615953386E-1
1.207646363E0,-2.080393076E0,-2.475458533E-1,3.373403847E-1
1.217358707E0,-2.022973299E0,-2.145601064E-1,4.216373265E-1
1.227071936E0,-1.816506982E0,-7.895200700E-2,4.399627447E-1
1.236784228E0,-1.594158649E0,4.566083103E-2,4.020902216E-1
1.246495790E0,-1.437781692E0,2.733541466E-2,3.239017725E-1
1.256208238E0,-1.404796004E0,-1.290414780E-1,2.457133085E-1
1.265921363E0,-1.428008199E0,-2.841966748E-1,1.748550236E-1
1.275633707E0,-1.396244168E0,-3.171824515E-1,1.101052165E-1
1.285345269E0,-1.343711257E0,-3.135173619E-1,4.535540938E-2
1.295057613E0,-1.365701795E0,-3.599417508E-1,1.114796288E-2
1.304770842E0,-1.392579079E0,-4.063661397E-1,-1.084253844E-2
1.314483134E0,-1.366923451E0,-4.027010500E-1,-5.848862603E-2
1.324194748E0,-1.332715988E0,-3.746020794E-1,-8.780929446E-2
1.333907092E0,-1.355928183E0,-4.796678126E-1,-7.192726433E-2
1.343620321E0,-1.333937645E0,-4.381301999E-1,-7.925742865E-2
1.353332613E0,-1.322942495E0,-4.833329022E-1,-1.036913246E-1
1.363044176E0,-1.338824511E0,-6.384881139E-1,-1.769929975E-1
1.372756623E0,-1.296065211E0,-7.301151752E-1,-2.942756712E-1
1.382469748E0,-1.286291599E0,-8.070819378E-1,-4.274403751E-1
1.392182092E0,-1.182447553E0,-6.959077120E-1,-4.836383164E-1
1.401893655E0,-9.857547879E-1,-3.794888556E-1,-4.628695250E-1
1.411605998E0,-8.794673681E-1,-2.292204350E-1,-4.225535989E-1
1.421319228E0,-7.805100679E-1,-1.143811494E-1,-3.614688516E-1
1.431031519E0,-6.632274389E-1,-4.107947648E-2,-2.991624475E-1
1.440743134E0,-5.801522136E-1,-2.519745007E-2,-2.295258641E-1
1.450455478E0,-4.494308829E-1,-3.252761811E-2,-1.513374150E-1
1.460168707E0,-3.016058207E-1,-8.093725890E-3,-6.581879407E-2
1.469880998E0,-1.916533262E-1,5.665608495E-2,5.039489828E-3
1.479592613E0,-5.848862603E-2,1.201841980E-1,3.313846514E-2
1.489304957E0,5.757235363E-2,1.580567211E-1,2.702999115E-2
1.499018186E0,1.369825006E-1,1.714953631E-1,-3.512371797E-3
1.508730478E0,2.225011140E-1,1.837123185E-1,-4.382828996E-2
1.518442040E0,3.031329513E-1,1.849340051E-1,-8.170082420E-2
1.528154488E0,3.837648034E-1,1.885990947E-1,-1.073564067E-1
1.537867613E0,4.705050886E-1,2.105895877E-1,-1.293469071E-1
1.547579957E0,5.657972693E-1,2.338017821E-1,-1.635543555E-1
1.557291519E0,6.659762263E-1,2.582356930E-1,-2.038702667E-1
1.567003863E0,7.820371985E-1,2.875563502E-1,-2.539597452E-1
1.576717092E0,8.736643195E-1,3.107685447E-1,-3.040492237E-1
1.586429384E0,9.579612017E-1,3.071034551E-1,-3.529170156E-1
1.596140998E0,1.045923233E0,3.217637837E-1,-3.895678520E-1
1.605853342E0,1.154654026E0,3.339807391E-1,-3.859027624E-1
1.615566571E0,1.257276416E0,3.523061574E-1,-3.700207174E-1
1.625278863E0,1.348903418E0,3.510844707E-1,-3.431434333E-1
1.634990478E0,1.424648523E0,3.388675153E-1,-3.187095523E-1
1.644702821E0,1.482068181E0,3.156553209E-1,-2.979407609E-1
1.654416051E0,1.538266063E0,2.411319613E-1,-2.600682080E-1
1.664128342E0,1.556591511E0,1.507265568E-1,-2.234173864E-1
1.673839905E0,1.581025362E0,6.276455522E-2,-1.892099380E-1
1.683552353E0,1.625006437E0,-2.641914412E-2,-1.415638477E-1
1.693265478E0,1.622563004E0,-1.314848661E-1,-1.097997949E-1
1.702977821E0,1.582247138E0,-2.475458533E-1,-9.269607067E-2
1.712689384E0,1.528492570E0,-3.709369898E-1,-9.636115283E-2
1.722401832E0,1.477181435E0,-4.906630516E-1,-1.061347127E-1
1.732114957E0,1.458855987E0,-5.725166202E-1,-1.562241912E-1
1.741827301E0,1.473516345E0,-6.531484127E-1,-1.989834905E-1
1.751538863E0,1.511388779E0,-7.252284288E-1,-2.258607745E-1
1.761251207E0,1.567586780E0,-7.618792653E-1,-2.270824611E-1
1.770964436E0,1.640888453E0,-7.716528177E-1,-1.769929975E-1
1.780676780E0,1.706859946E0,-7.484406233E-1,-5.848862603E-2
1.790388342E0,1.750993609E0,-7.227849960E-1,9.666658193E-2
1.800100686E0,1.790087938E0,-7.093463540E-1,2.249445021E-1
1.809813915E0,1.831625462E0,-7.264500856E-1,3.104631305E-1
1.819526207E0,1.878049850E0,-7.863131166E-1,3.385621011E-1
1.829237821E0,1.926917672E0,-8.339592218E-1,3.031329513E-1
1.838950165E0,1.978228807E0,-8.510629535E-1,2.200577259E-1
1.848663394E0,2.006327868E0,-9.023740888E-1,9.422318637E-2
1.858375686E0,1.977007151E0,-1.030652046E0,-1.068982761E-3
1.868087248E0,1.926917672E0,-1.123500824E0,-1.450762246E-2
1.877799696E0,1.963568568E0,-1.112505555E0,6.261184346E-3
1.887512821E0,2.104063272E0,-1.040425539E0,6.978929788E-2
1.897225165E0,2.270213842E0,-9.634588361E-1,1.797417998E-1
1.906936728E0,2.413151979E0,-9.500201941E-1,2.677038014E-1
1.916649176E0,2.523104668E0,-1.012326598E0,2.738122940E-1
1.926362301E0,2.565863848E0,-1.078298092E0,1.834068894E-1
1.936074644E0,2.560977221E0,-1.079519868E0,-2.061609551E-2
1.945786207E0,2.554868698E0,-1.014770031E0,-2.356343269E-1
1.955498551E0,2.562198877E0,-9.182561636E-1,-3.431434333E-1
1.965211780E0,2.581745863E0,-8.107470274E-1,-3.516952991E-1
1.974924071E0,2.617175102E0,-7.276718020E-1,-2.942756712E-1
1.984635686E0,2.640387297E0,-6.018372774E-1,-1.989834905E-1
1.994348030E0,2.636722088E0,-4.185830951E-1,-9.269607067E-2
2.004061259E0,2.657490969E0,-3.465031087E-1,-3.771981969E-2
2.013773551E0,2.684368372E0,-4.271349311E-1,-7.192726433E-2
2.023485165E0,2.708802223E0,-5.260922313E-1,-1.806580722E-1
2.033197509E0,2.739344597E0,-5.309789777E-1,-3.126010895E-1
2.042910738E0,2.725905895E0,-4.711159468E-1,-4.213318825E-1
2.052623030E0,2.653825998E0,-4.161396921E-1,-4.726430774E-1
2.062334592E0,2.564642191E0,-4.173613787E-1,-4.482091665E-1
2.072047040E0,2.493783951E0,-4.564556181E-1,-3.920112252E-1
2.081760165E0,2.460798264E0,-4.369085133E-1,-3.834593594E-1
2.091472509E0,2.480345249E0,-2.817533016E-1,-4.567610323E-1
2.101184071E0,2.532878160E0,-8.261708915E-2,-5.703786016E-1
2.110896519E0,2.579302549E0,6.398624927E-2,-6.632274389E-1
2.120609644E0,2.575637579E0,1.055238619E-1,-7.010999322E-1
2.130321988E0,2.519439459E0,1.389677543E-2,-6.717792749E-1
2.140033551E0,2.389939785E0,-1.253764033E-1,-5.630484819E-1
2.149745894E0,2.177365065E0,-2.536543310E-1,-4.433223903E-1
2.159459123E0,1.887823462E0,-3.501681983E-1,-3.663556576E-1
2.169171415E0,1.560256600E0,-3.611634374E-1,-3.272614181E-1
2.178883030E0,1.291483760E0,-3.379512429E-1,-3.162661791E-1
2.188595373E0,1.135106921E0,-3.208475113E-1,-2.832804024E-1
2.198308603E0,1.060583591E0,-2.756448388E-1,-2.307475507E-1
2.208020894E0,1.030041218E0,-2.047865391E-1,-2.038702667E-1
2.217732457E0,1.010494113E0,-1.827960461E-1,-2.295258641E-1
2.227444905E0,9.591829181E-1,-2.145601064E-1,-2.967190444E-1
2.237158082E0,9.164236188E-1,-2.646495700E-1,-3.431434333E-1
2.246870373E0,8.993198872E-1,-2.548760176E-1,-3.150444627E-1
2.256581936E0,8.638907075E-1,-1.437018216E-1,-2.038702667E-1
2.266294384E0,7.820371985E-1,-3.374931216E-2,-8.414421231E-2
2.276007509E0,6.562026739E-1,1.756185852E-2,-3.161134571E-2
2.285719853E0,5.254813433E-1,2.855710872E-2,-3.527642787E-2
2.295431415E0,4.534013867E-1,2.367033064E-2,-9.269607067E-2
2.305143759E0,4.289674759E-1,6.520794332E-2,-1.806580722E-1
2.314856988E0,4.179722369E-1,1.873773932E-1,-2.576248348E-1
2.324569280E0,3.837648034E-1,3.132119179E-1,-3.040492237E-1
2.334280894E0,2.970244884E-1,3.645231128E-1,-3.064926267E-1
2.343993238E0,1.760767251E-1,3.229855001E-1,-2.661767006E-1
2.353706467E0,6.123743951E-2,1.995943487E-1,-1.989834905E-1
2.363418759E0,-2.428117767E-2,1.389677543E-2,-1.269035190E-1
2.373130321E0,-8.903098851E-2,-1.718007922E-1,-5.971032009E-2
2.382842769E0,-1.220167428E-1,-2.756448388E-1,-1.328592747E-2
2.392555946E0,-1.195733473E-1,-3.037438095E-1,8.704573847E-3
2.402268238E0,-1.024696305E-1,-2.854183912E-1,2.092151903E-2
2.411979801E0,-8.780929446E-2,-2.206685692E-1,2.702999115E-2
2.421692248E0,-8.292251825E-2,-1.314848661E-1,1.847812906E-2
2.431405373E0,-8.292251825E-2,-6.673506647E-2,2.092151903E-2
2.441117717E0,-7.681404054E-2,-4.107947648E-2,3.558185324E-2
2.450829280E0,-5.726693198E-2,-1.786728203E-2,5.879404768E-2
2.460541728E0,-4.016320780E-2,1.878355257E-2,6.368082762E-2
2.470254853E0,-4.504998401E-2,5.543438718E-2,4.902049154E-2
2.479967196E0,-7.681404054E-2,8.353336155E-2,2.702999115E-2
2.489678759E0,-1.097997949E-1,1.177408099E-1,7.482878864E-3
2.499391103E0,-1.378987730E-1,1.324011385E-1,5.039489828E-3
2.509104332E0,-1.916533262E-1,1.226275861E-1,6.261184346E-3
2.518816623E0,-2.722851634E-1,7.131642103E-2,1.527118147E-4
2.528528238E0,-3.712424338E-1,1.023169141E-2,-3.512371797E-3
2.538240582E0,-4.628695250E-1,-2.153236605E-2,-1.450762246E-2
2.547953811E0,-5.263976455E-1,-5.085303262E-2,-1.450762246E-2
2.557666103E0,-5.642701387E-1,-4.474456236E-2,-3.512371797E-3
2.567377665E0,-5.813738704E-1,-1.542389300E-2,9.926267900E-3
2.577090113E0,-5.899257660E-1,2.733541466E-2,4.169032723E-2
2.586803290E0,-6.229115129E-1,5.665608495E-2,8.078455180E-2
2.596515582E0,-6.962131858E-1,5.176930502E-2,1.247655526E-1
2.606227144E0,-8.012788892E-1,3.833066672E-2,1.687465608E-1
2.615939592E0,-9.246700406E-1,-4.107947648E-2,2.041756958E-1
2.625652717E0,-1.050504565E0,-1.840177327E-1,2.334963679E-1
2.635365061E0,-1.162900448E0,-3.416163325E-1,2.579302490E-1
2.645076623E0,-1.261857748E0,-4.503471553E-1,2.579302490E-1
2.654789071E0,-1.310725451E0,-5.065450668E-1,2.066190839E-1
2.664502196E0,-1.296065211E0,-4.845545888E-1,1.198787764E-1
2.674214540E0,-1.256971002E0,-3.159607351E-1,2.092151903E-2
2.683926103E0,-1.231315374E0,-1.046075895E-1,-6.337540597E-2
2.693638446E0,-1.244753957E0,4.688252881E-2,-1.097997949E-1
2.703351676E0,-1.321720719E0,1.751604527E-1,-9.269607067E-2
2.713063967E0,-1.448776960E0,2.545706034E-1,-1.572931744E-2
2.722775582E0,-1.597823739E0,2.484621257E-1,7.711946964E-2
2.732487926E0,-1.773747683E0,1.592784226E-1,1.491994411E-1
2.742201155E0,-1.993652701E0,-1.985253533E-3,2.066190839E-1
2.751913446E0,-2.258760452E0,-1.632489264E-1,2.725905776E-1
2.761625061E0,-2.479887247E0,-3.110739589E-1,3.239017725E-1
2.771337405E0,-2.588618040E0,-4.063661397E-1,3.544441164E-1
2.781050634E0,-2.589839697E0,-3.440597057E-1,3.556658030E-1
2.790762926E0,-2.515316248E0,-1.265980899E-1,3.434488773E-1
2.800474488E0,-2.393146753E0,1.324011385E-1,3.165715933E-1
2.810186936E0,-2.250208616E0,3.217637837E-1,2.958027720E-1
2.819900061E0,-2.130482435E0,4.366030693E-1,3.263451457E-1
2.829612405E0,-2.082836390E0,5.367820263E-1,4.265241027E-1
2.839323967E0,-2.117043972E0,7.041541934E-1,5.694623590E-1
2.849036415E0,-2.205005884E0,1.064554095E0,7.394306064E-1
2.858749540E0,-2.279529333E0,1.385859728E0,8.884773254E-1
2.868461884E0,-2.296633005E0,1.391968250E0,9.177979827E-1
2.878173446E0,-2.251430273E0,1.280794024E0,8.371661901E-1
2.887885894E0,-2.143921137E0,1.148851037E0,6.868977547E-1
2.897599019E0,-2.007091284E0,1.052337170E0,5.584670901E-1
2.907311363E0,-1.904469013E0,1.092653036E0,4.961606860E-1
2.917022926E0,-1.825058937E0,1.311336398E0,4.717268050E-1
2.926735269E0,-1.737096906E0,1.560562015E0,4.436278343E-1
2.936448498E0,-1.672347069E0,1.874537468E0,4.424061179E-1
2.946160790E0,-1.623479247E0,2.261814594E0,4.460712075E-1
2.955872405E0,-1.552621007E0,2.562351465E0,4.277457893E-1
2.965584748E0,-1.454885483E0,2.555021286E0,4.008685052E-1
2.975297978E0,-1.393800735E0,2.217833757E0,3.532224298E-1
2.985010269E0,-1.421899676E0,1.685174823E0,2.811424434E-1
2.994721884E0,-1.529408813E0,1.134190679E0,2.090624720E-1
3.004434228E0,-1.657686710E0,7.359182239E-1,1.711899489E-1
3.014147457E0,-1.699224353E0,7.432484031E-1,1.626380831E-1
3.023859748E0,-1.573389769E0,9.423846006E-1,1.711899489E-1
3.033571363E0,-1.414569497E0,1.059667230E0,1.956238300E-1
3.043283707E0,-1.352263093E0,1.065775752E0,2.359397560E-1
3.052996936E0,-1.382805467E0,1.007134438E0,2.725905776E-1
3.062709228E0,-1.437781692E0,9.008470178E-1,2.982461751E-1
3.072420790E0,-1.512305140E0,7.566870451E-1,3.031329513E-1
3.082133238E0,-1.569724798E0,5.331169367E-1,2.762556672E-1
3.091846415E0,-1.588050127E0,2.790044844E-1,1.882936656E-1
3.101558707E0,-1.597823739E0,1.800472289E-1,6.612421572E-2
3.111270269E0,-1.602710485E0,1.360662282E-1,-2.428117767E-2
3.120982717E0,-1.640583038E0,1.634016447E-2,-2.428117767E-2
3.130695842E0,-1.705332875E0,-8.139539510E-2,6.612421572E-2
3.140408186E0,-1.715106368E0,-8.628217876E-2,2.029540092E-1
3.150119748E0,-1.688229084E0,-5.818320066E-2,3.361186981E-1
3.159832196E0,-1.584385037E0,8.597674966E-2,4.008685052E-1
3.169545373E0,-1.490314603E0,2.447970361E-1,3.837648034E-1
3.179257665E0,-1.480540991E0,2.008160353E-1,3.190149665E-1
3.188969228E0,-1.550177574E0,4.581354442E-4,2.249445021E-1
3.198681676E0,-1.597823739E0,-1.827960461E-1,1.223221645E-1
3.208394801E0,-1.552621007E0,-2.866400778E-1,4.657710344E-2
3.218107144E0,-1.531852245E0,-2.915268540E-1,1.847812906E-2
3.227818707E0,-1.536738992E0,-2.866400778E-1,1.527118147E-4
3.237531155E0,-1.515970230E0,-3.086305857E-1,1.527118147E-4
3.247244332E0,-1.507418275E0,-3.477247953E-1,3.069507517E-2
3.256956623E0,-1.467102408E0,-3.636068404E-1,4.657710344E-2
3.266668186E0,-1.424343109E0,-3.733803928E-1,6.368082762E-2
3.276380634E0,-1.373031974E0,-3.770454824E-1,6.734590977E-2
3.286093811E0,-1.304617047E0,-3.990359604E-1,6.856760383E-2
3.295806103E0,-1.234980464E0,-4.124746025E-1,7.101099193E-2
3.305517717E0,-1.169008970E0,-3.929274976E-1,4.779879749E-2
3.315230061E0,-1.092042208E0,-3.892624080E-1,1.603474095E-2
3.324943290E0,-1.004080176E0,-3.257342875E-1,-8.399149403E-3
3.334655582E0,-9.100096822E-1,-2.365505993E-1,-2.061609551E-2
3.344367196E0,-8.061656952E-1,-1.534753740E-1,-3.038965166E-2
3.354079540E0,-7.182036638E-1,-1.485885978E-1,-1.817270555E-2
3.363792769E0,-6.143596172E-1,-1.168245375E-1,-3.161134571E-2
3.373505061E0,-5.215108395E-1,-1.131594554E-1,-5.848862603E-2
3.383216676E0,-4.396573007E-1,-1.021642014E-1,-8.170082420E-2
3.392929019E0,-3.663556576E-1,-8.994726092E-2,-1.036913246E-1
3.402642248E0,-2.832804024E-1,-8.994726092E-2,-1.391204596E-1
3.412354592E0,-2.002051920E-1,-6.917845458E-2,-1.782146841E-1
3.422066155E0,-1.036913246E-1,-2.886253223E-2,-2.112004459E-1
3.431778603E0,1.114796288E-2,1.878355257E-2,-2.368560284E-1
3.441491728E0,1.284306347E-1,4.932591692E-2,-2.600682080E-1
3.451204071E0,2.493783981E-1,8.231166750E-2,-2.735068500E-1
3.460915634E0,3.605526090E-1,1.067455560E-1,-2.845021188E-1
3.470628082E0,4.741701782E-1,1.201841980E-1,-3.040492237E-1
3.480341259E0,6.048914790E-1,1.372879148E-1,-3.284831047E-1
3.490053551E0,7.368345261E-1,1.763821393E-1,-3.431434333E-1
