"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.725807300E-2,-2.107179403E0,-6.077769399E-1,-9.707382202E0
6.697171900E-2,-2.102393866E0,-6.029912829E-1,-9.728918076E0
7.668447900E-2,-2.097608089E0,-6.101697683E-1,-9.719346046E0
8.639651000E-2,-2.088036776E0,-6.077769399E-1,-9.673882484E0
9.610937500E-2,-2.078465462E0,-6.221339107E-1,-9.645169258E0
1.058229690E-1,-2.061715841E0,-6.005984545E-1,-9.618847847E0
1.155357290E-1,-2.064108610E0,-5.647061467E-1,-9.626026154E0
1.252477600E-1,-2.066501379E0,-5.575276613E-1,-9.623633385E0
1.349606250E-1,-2.090429783E0,-5.599204898E-1,-9.654740334E0
1.446742190E-1,-2.100000858E0,-5.694918036E-1,-9.693025589E0
1.543869790E-1,-2.109572172E0,-5.814558864E-1,-9.740881920E0
1.640990100E-1,-2.088036776E0,-5.982056856E-1,-9.762416840E0
1.738118750E-1,-2.088036776E0,-5.982056856E-1,-9.740881920E0
1.835254690E-1,-2.068894386E0,-5.958128572E-1,-9.791131020E0
1.932382810E-1,-2.052144527E0,-5.958128572E-1,-9.618847847E0
2.029503130E-1,-2.047358990E0,-5.910272002E-1,-9.580562592E0
2.126631770E-1,-2.030609131E0,-6.053841114E-1,-9.688240051E0
2.223767710E-1,-2.030609131E0,-5.958128572E-1,-9.666704178E0
2.320895310E-1,-2.033001900E0,-6.125625968E-1,-9.599705696E0
2.418015630E-1,-2.042573214E0,-6.269195080E-1,-9.733703613E0
2.515144270E-1,-2.042573214E0,-6.269195080E-1,-9.788738251E0
2.612280210E-1,-2.049751759E0,-6.101697683E-1,-9.666704178E0
2.709407810E-1,-2.059323072E0,-5.766702294E-1,-9.676275253E0
2.806528130E-1,-2.049751759E0,-5.742774606E-1,-9.774381638E0
2.903656770E-1,-2.028216362E0,-5.766702294E-1,-9.709774971E0
3.000792710E-1,-2.011466503E0,-5.718846321E-1,-9.609276772E0
3.097920310E-1,-2.006680965E0,-5.718846321E-1,-9.669096947E0
3.195040630E-1,-2.011466503E0,-5.742774606E-1,-9.716953278E0
3.292169270E-1,-2.025823355E0,-5.742774606E-1,-9.628418922E0
3.389305730E-1,-2.037787676E0,-5.694918036E-1,-9.642776489E0
3.486433330E-1,-2.071287155E0,-5.742774606E-1,-9.764810562E0
3.583553650E-1,-2.078465462E0,-5.694918036E-1,-9.709774971E0
3.680682290E-1,-2.085644007E0,-5.790630579E-1,-9.626026154E0
3.777818230E-1,-2.088036776E0,-5.814558864E-1,-9.704989433E0
3.874945830E-1,-2.083251238E0,-5.958128572E-1,-9.726525307E0
3.972066150E-1,-2.064108610E0,-5.790630579E-1,-9.623633385E0
4.069194790E-1,-2.066501379E0,-5.790630579E-1,-9.621240616E0
4.166330730E-1,-2.056930065E0,-5.766702294E-1,-9.740881920E0
4.263458330E-1,-2.059323072E0,-5.838487148E-1,-9.673882484E0
4.360578650E-1,-2.066501379E0,-5.718846321E-1,-9.606884003E0
4.457707290E-1,-2.080858469E0,-5.694918036E-1,-9.716953278E0
4.554843750E-1,-2.061715841E0,-5.742774606E-1,-9.774381638E0
4.651971350E-1,-2.066501379E0,-5.551348329E-1,-9.659525871E0
4.749091670E-1,-2.066501379E0,-5.670989752E-1,-9.664311409E0
