"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.624709500E-2,1.108175993E0,-1.311864972E0,-5.448457241E0
6.596167900E-2,1.510170221E0,-1.479362607E0,-5.967699528E0
7.567542900E-2,1.507777333E0,-1.577468276E0,-5.213661671E0
8.538845000E-2,1.098604679E0,-1.577468276E0,-3.908974886E0
9.510230400E-2,7.178468108E-1,-1.522433400E0,-2.031805515E0
1.048169390E-1,5.024927258E-1,-1.498505235E0,-1.136590727E-2
1.145306890E-1,2.629113793E-1,-1.292722464E0,1.695613980E0
1.242437100E-1,5.712864175E-2,-1.024427176E0,3.132204771E0
1.339575640E-1,-7.447660714E-2,-7.683951855E-1,4.200001717E0
1.436721470E-1,-4.360919297E-1,-4.426721931E-1,4.721936226E0
1.533858970E-1,-6.924230456E-1,-1.339980662E-1,4.420141697E0
1.630989180E-1,-8.407780528E-1,2.946162820E-1,2.799303293E0
1.728127720E-1,-1.204487085E0,8.452646136E-1,1.585244983E-1
1.825273560E-1,-2.418545485E0,1.264307618E0,-3.722035646E0
1.922411060E-1,-5.190929413E0,1.791027784E0,-1.032263660E1
2.019541270E-1,-7.785945892E0,6.251249313E-1,-1.703330803E1
2.116679810E-1,-6.785147667E0,-4.486243248E0,-1.648266029E1
2.213826160E-1,-5.803791523E0,-1.122084236E1,-1.049282646E1
2.310963660E-1,-5.094917774E0,-1.847976875E1,-3.466003656E0
2.408093870E-1,-3.687339783E0,-2.218595314E1,2.983550787E0
2.505232410E-1,-2.100000858E0,-2.457757950E1,2.698804855E0
2.602378250E-1,-3.092723191E-1,-2.740739059E1,-8.706583977E0
2.699515750E-1,5.234299600E-2,-2.593999290E1,-1.467039585E1
2.796645950E-1,-2.035394669E0,-2.340928268E1,-6.734001160E0
2.893784500E-1,-3.287439108E0,-2.503012085E1,3.430709541E-1
2.990930850E-1,-2.260320187E0,-2.514258385E1,1.578365684E0
3.088068350E-1,-1.147059321E0,-2.399343109E1,-5.371587753E0
3.185198560E-1,-2.332104683E0,-2.362942314E1,-1.019820976E1
3.282337100E-1,-6.442974091E0,-2.358395958E1,-7.521538734E0
3.379482930E-1,-1.033579731E1,-2.300220490E1,-2.776571512E0
3.476620430E-1,-1.205474091E1,-2.160419655E1,-2.285743713E0
3.573750640E-1,-1.067318535E1,-2.058425713E1,-5.587240696E0
3.670889180E-1,-8.535198212E0,-1.990200233E1,-8.553443909E0
3.768035540E-1,-6.495615959E0,-1.974407768E1,-9.302696228E0
3.865173040E-1,-4.829314232E0,-2.012692833E1,-8.677870750E0
3.962303250E-1,-3.184547901E0,-2.043829536E1,-7.768298626E0
4.059441790E-1,-1.398604870E0,-2.038565254E1,-6.889534473E0
4.156587620E-1,-2.518445849E-1,-1.961217308E1,-6.381957054E0
4.253725120E-1,4.450650215E-1,-1.819980812E1,-5.826523304E0
4.350855330E-1,8.685946465E-1,-1.630110359E1,-4.893023014E0
4.447993870E-1,9.475577474E-1,-1.434287834E1,-3.638286829E0
4.545140220E-1,4.755735025E-2,-1.252104282E1,-2.137388945E0
4.642277720E-1,-1.300499082E0,-1.046201897E1,-1.632204175E0
4.739407930E-1,-2.767897606E0,-8.137392044E0,-2.565704107E0
4.836546470E-1,-3.280260801E0,-6.313163280E0,-3.343969584E0
4.933692310E-1,-3.000300407E0,-4.536492825E0,-3.166601658E0
5.030830850E-1,-2.514258385E0,-2.788834810E0,-2.577668190E0
5.127960020E-1,-1.802991867E0,-9.622138143E-1,-2.137388945E0
5.225099080E-1,-8.934201598E-1,7.710871100E-1,-1.529312730E0
5.322244910E-1,8.823533356E-2,2.291426897E0,-8.635098934E-1
5.419382410E-1,8.374879360E-1,3.179463148E0,-3.945166469E-1
5.516512620E-1,9.403793216E-1,3.141177893E0,2.213360928E-2
5.613651160E-1,5.455635786E-1,3.823431492E0,-6.580262445E-3
5.710797520E-1,1.001994461E-1,4.225724697E0,-1.038485050E0
5.807935020E-1,-2.997010350E-1,3.641577005E0,-1.672882080E0
5.905065220E-1,-9.077770710E-1,2.231606245E0,-1.404586911E0
6.002203770E-1,-1.456032634E0,4.597210586E-1,-1.088734269E0
6.099349600E-1,-4.121637046E-1,-6.583253145E-1,-1.308874011E0
6.196488140E-1,2.318046987E-1,-1.448255897E0,-1.845165372E0
6.293617830E-1,3.945166469E-1,-1.907976985E0,-2.355135679E0
6.390756370E-1,6.245267391E-1,-2.199901342E0,-2.532204628E0
6.487902200E-1,1.010070205E0,-2.276471615E0,-2.410170555E0
6.585039700E-1,1.261316657E0,-2.135295153E0,-1.725524187E0
6.682169910E-1,1.199103236E0,-1.869691849E0,-7.151548862E-1
6.779308450E-1,1.175175071E0,-1.579861164E0,4.339981973E-1
6.876454810E-1,1.043569803E0,-1.307079315E0,1.554437399E0
6.973592310E-1,7.992027402E-1,-1.074676514E0,1.738684773E0
7.070722520E-1,1.163210869E0,-9.813563824E-1,8.841479421E-1
7.167861060E-1,1.524527073E0,-1.065105200E0,-2.099701911E-1
7.265007410E-1,1.965105653E0,-1.230509043E0,-1.244267821E0
7.362144910E-1,2.051247120E0,-1.508076429E0,-2.087139606E0
7.459275120E-1,1.565504193E0,-2.025225163E0,-3.722035646E0
7.556413660E-1,9.786644578E-1,-2.528017044E0,-4.098007679E0
7.653560020E-1,-1.472782373E0,-3.064308405E0,-3.451646566E0
7.750697520E-1,-5.808577061E0,-3.377768278E0,-3.784548044E0
7.847827720E-1,-8.722137451E0,-5.817550182E0,-4.483551502E0
7.944966270E-1,-8.963812828E0,-9.684052467E0,-2.853141785E0
8.042112620E-1,-9.392427444E0,-1.360558987E1,-4.447659016E0
8.139250120E-1,-7.759624958E0,-1.774248123E1,-8.210970879E0
8.236380330E-1,-4.080061913E0,-2.263370895E1,-3.475574970E0
8.333518870E-1,2.717050076E0,-2.678974342E1,-1.323230863E0
8.430665220E-1,8.278268814E0,-2.985913658E1,1.690828323E0
8.527802720E-1,5.735895157E0,-2.873151970E1,8.961120844E-1
8.624932930E-1,-5.294120312E-1,-2.559991264E1,-2.953640461E0
