"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.029230400E-2,-1.418692708E0,-2.420482337E-1,-9.452861547E-2
1.000069390E-1,-1.654479742E0,-3.715478480E-1,-6.398624927E-2
1.097206890E-1,-1.772984147E0,-5.499152541E-1,-4.321744293E-2
1.194337100E-1,-1.783979416E0,-7.392778993E-1,-2.977880463E-2
1.291475640E-1,-1.694795728E0,-9.298622608E-1,-2.244863659E-2
1.388621470E-1,-1.524980187E0,-1.107007980E0,-1.756185852E-2
1.485758970E-1,-1.291636586E0,-1.224290609E0,3.206948051E-3
1.582889180E-1,-1.047297597E0,-1.254832983E0,3.619270027E-2
1.680027720E-1,-8.860339522E-1,-1.199856758E0,7.406523079E-2
1.777173560E-1,-8.628217578E-1,-1.032484531E0,1.278197914E-1
1.874311060E-1,-1.064401388E0,-7.295043468E-1,2.463241518E-1
1.971441270E-1,-1.693574071E0,-4.656183124E-1,5.286883116E-1
2.068579810E-1,-2.653825998E0,-3.507790267E-1,9.342908859E-1
2.165726160E-1,-3.274446726E0,-2.005106062E-1,1.233605981E0
2.262863660E-1,-3.111961365E0,3.286358118E-1,1.391204596E0
2.359993870E-1,-2.190803766E0,1.573542595E0,1.509709001E0
2.457132410E-1,-9.972081780E-1,2.451941013E0,1.578123927E0
2.554278250E-1,-3.521534503E-1,1.726254344E0,1.402199864E0
2.651415750E-1,-8.286142945E-1,2.870981991E-1,9.672766328E-1
2.748545950E-1,-1.722894669E0,-7.637118101E-1,5.690042377E-1
2.845684500E-1,-2.034426689E0,-1.359898686E0,4.602734149E-1
2.942830850E-1,-1.661809921E0,-1.425870180E0,4.834856093E-1
3.039968350E-1,-1.036302328E0,-1.163205862E0,3.662029207E-1
3.137098560E-1,-6.832326651E-1,-7.722636461E-1,5.940489471E-2
3.234237100E-1,-5.549547076E-1,-5.548020005E-1,-3.388675153E-1
3.331382930E-1,-2.079934925E-1,-4.460712075E-1,-6.271874309E-1
3.428520430E-1,4.883723855E-1,-1.992889196E-1,-6.821636558E-1
3.525650640E-1,1.223985195E0,2.418955117E-1,-5.404471159E-1
3.622789180E-1,1.699224353E0,7.122479081E-1,-3.510844707E-1
3.719935540E-1,1.891030431E0,1.017671585E0,-1.812689304E-1
3.817073040E-1,1.939898133E0,1.125180602E0,-5.176930502E-2
3.914203250E-1,1.960667014E0,1.123958945E0,2.641914412E-2
4.011341790E-1,1.992431045E0,1.057987452E0,3.863608837E-2
4.108487620E-1,2.032747030E0,9.284878373E-1,-3.588727489E-2
4.205625120E-1,2.046185493E0,7.684458494E-1,-1.641651988E-1
4.302755330E-1,2.016865015E0,5.986303091E-1,-3.058817685E-1
4.399893870E-1,1.960667014E0,4.349232614E-1,-4.390464723E-1
4.497040220E-1,1.904469013E0,2.883199155E-1,-5.526640415E-1
4.594177720E-1,1.866596460E0,1.183516532E-1,-5.954233408E-1
4.691307930E-1,1.806733489E0,-6.856760383E-2,-5.392253995E-1
