"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.102720400E-2,8.344969153E-2,1.350449324E0,-3.655036688E-1
6.074126600E-2,-1.544566989E0,1.283450246E0,-6.290132403E-1
7.045449500E-2,-2.547757864E0,9.385846853E-1,-3.559323549E-1
8.016694300E-2,-2.566900492E0,2.324029058E-1,-4.184448719E-1
8.988027700E-2,-1.645065546E0,-8.928219676E-1,-1.974377751E0
9.959433900E-2,-9.699904919E-1,-2.233400822E0,-6.918248653E0
1.093075680E-1,-2.367997169E0,-4.165605068E0,-8.357232094E0
1.190200160E-1,-5.255535603E0,-6.083153248E0,-7.725227833E0
1.287333500E-1,-7.175477028E0,-9.990333557E0,-3.224328458E-1
1.384474120E-1,-6.785147667E0,-1.432612801E1,3.936492443E0
1.481606410E-1,-4.635495663E0,-1.727797318E1,2.117049932E0
1.578731410E-1,-1.568495274E0,-1.913091660E1,-4.893023014E0
1.675864750E-1,-1.345962733E-1,-2.182912254E1,-1.552523136E1
1.773005370E-1,1.049850956E-1,-2.419921303E1,-7.744370461E0
1.870137660E-1,5.216353536E-1,-2.701496696E1,6.826124668E0
1.967262140E-1,2.724228621E0,-2.577937317E1,4.661816597E0
2.064395480E-1,2.717050076E0,-2.410589409E1,-5.402694225E0
2.161536100E-1,-4.528416991E-1,-2.452493668E1,-5.275874615E0
2.258668390E-1,-5.123631477E0,-2.569083977E1,-2.961117923E-1
2.355793390E-1,-6.801897526E0,-2.634198570E1,2.126621008E0
2.452926730E-1,-6.260820389E0,-2.533161736E1,2.186441660E0
2.550067350E-1,-5.530710220E0,-2.390250397E1,1.310369492E0
2.647199640E-1,-4.946562767E0,-2.290409851E1,1.101894855E0
2.744324120E-1,-3.754338741E0,-2.218834496E1,9.702895880E-1
2.841457450E-1,-2.164607286E0,-2.150609207E1,-5.356931686E-1
2.938598600E-1,-6.924230456E-1,-2.096501541E1,-1.979163408E0
3.035730370E-1,2.078764737E-1,-2.015564156E1,-2.335993052E0
3.132855370E-1,-6.011966988E-2,-1.882224274E1,-1.751845241E0
3.229988700E-1,-6.370890141E-1,-1.686610985E1,-1.153340459E0
3.327129330E-1,-8.718847632E-1,-1.447209072E1,-1.268195987E0
3.424261620E-1,-5.437689424E-1,-1.234606743E1,-1.445264935E0
3.521386620E-1,2.916252613E-1,-1.040698433E1,-1.124626637E0
3.618519950E-1,6.795616150E-1,-8.410173416E0,-1.129412293E0
3.715660580E-1,3.586242795E-1,-6.186044693E0,-1.837986946E0
3.812792870E-1,4.037888348E-2,-3.775275946E0,-3.547359467E0
3.909917350E-1,1.815554202E-1,-1.331007600E0,-5.898307800E0
4.007050680E-1,7.627122104E-2,1.376770377E0,-8.295019150E0
4.104191310E-1,-7.857431173E-1,3.667897940E0,-8.879166603E0
4.201323600E-1,-1.721635938E0,4.340580463E0,-6.068497181E0
4.298448600E-1,-2.875574589E0,3.881158352E0,-2.252244234E0
4.395581930E-1,-4.649852753E0,2.933002472E0,3.263211846E-1
4.492722560E-1,-5.664708614E0,1.948953986E0,9.535398483E-1
4.589854850E-1,-4.166203499E0,7.088736892E-1,3.478565812E-1
4.686979850E-1,-1.170987606E0,-6.655037999E-1,-2.075773627E-1
4.784113180E-1,1.759322882E0,-1.800299883E0,-4.232304990E-1
4.881253810E-1,3.504587889E0,-2.374876499E0,-8.276175261E-1
4.978386100E-1,3.380161047E0,-2.384447813E0,-1.055234790E0
5.075511100E-1,2.623430967E0,-1.967797518E0,-1.155733347E0
5.172644430E-1,1.852642894E0,-1.235294700E0,-1.045663476E0
5.269785060E-1,1.211067319E0,-6.439684033E-1,-8.180462122E-1
5.366917350E-1,9.116654396E-1,-4.115654826E-1,-5.093721151E-1
5.464042350E-1,9.212366939E-1,-3.182454109E-1,1.776670814E-1
5.561175680E-1,5.551348329E-1,-2.081755698E-1,3.933202326E-1
5.658316310E-1,-1.489532143E-1,-1.962114573E-1,-8.973085321E-3
5.755448600E-1,-9.987043738E-1,-3.684946895E-1,-1.692921966E-1
5.852573600E-1,-1.266999602E0,-8.497511148E-1,-1.022931710E-1
5.949706930E-1,-1.077667475E0,-1.390828133E0,-1.811665893E0
6.046847560E-1,-7.833502889E-1,-2.257328987E0,-5.816951752E0
6.143979850E-1,-1.242772222E0,-4.124927044E0,-6.592824459E0
6.241104850E-1,-1.539781332E0,-7.009773731E0,-4.184149265E0
6.338238180E-1,-2.741576433E0,-1.107727337E1,1.152144074E0
6.435378810E-1,-3.617947817E0,-1.464676666E1,2.638984203E0
6.532511100E-1,-3.194119215E0,-1.812802505E1,8.482556343E-1
6.629636100E-1,-2.655434847E0,-2.071586227E1,-4.564907551E0
6.726769430E-1,-2.222034931E0,-2.287299156E1,-1.152921772E1
