"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.729879830E-1,2.388260126E0,-2.298312783E-1,9.727742523E-2
1.827015250E-1,2.385816574E0,-3.373403847E-1,7.284353673E-2
1.924157950E-1,2.338170528E0,-5.108210444E-1,-2.367033064E-2
2.021292330E-1,2.306406498E0,-6.671979427E-1,-1.421747059E-1
2.118419410E-1,2.295411348E0,-7.710419297E-1,-2.472404242E-1
2.215554830E-1,2.302741528E0,-7.172874212E-1,-2.728960216E-1
2.312697540E-1,2.340614080E0,-5.169295073E-1,-2.215848416E-1
2.409831910E-1,2.421245813E0,-2.677038014E-1,-1.299577504E-1
2.506959000E-1,2.526311636E0,-6.612421572E-2,-9.086353332E-2
2.604094410E-1,2.627712250E0,5.848862603E-2,-1.812689304E-1
2.701237120E-1,2.719339371E0,7.437065244E-2,-3.596363366E-1
2.798371500E-1,2.802414417E0,-4.779879749E-2,-4.341596961E-1
2.895498580E-1,2.864720821E0,-1.467560530E-1,-3.376458287E-1
2.992634000E-1,2.874494553E0,-1.687465608E-1,-1.617218107E-1
3.089776700E-1,2.819518328E0,-1.675248593E-1,-1.511846948E-2
3.186911080E-1,2.731556177E0,-1.491994411E-1,3.130592033E-2
3.284038160E-1,2.637485743E0,-7.345438004E-2,-5.543438718E-2
3.381173580E-1,2.569070816E0,6.948387623E-2,-2.557922900E-1
3.478316290E-1,2.569070816E0,1.478250325E-1,-4.830274582E-1
3.575450660E-1,2.615495205E0,5.115845799E-2,-7.065975666E-1
3.672577750E-1,2.642372608E0,-1.944021434E-1,-8.507575393E-1
3.769713160E-1,2.665584803E0,-4.204156399E-1,-8.568660021E-1
3.866855870E-1,2.710787535E0,-4.851654470E-1,-7.908945084E-1
3.963990250E-1,2.741329670E0,-4.839437306E-1,-6.907155514E-1
4.061117330E-1,2.740108013E0,-4.277457893E-1,-5.905365944E-1
4.158252750E-1,2.730334520E0,-3.495573401E-1,-5.245651007E-1
4.255395450E-1,2.710787535E0,-3.239017725E-1,-5.147915483E-1
4.352529830E-1,2.701013803E0,-3.544441164E-1,-5.465555787E-1
4.449656390E-1,2.710787535E0,-4.619532526E-1,-5.917583108E-1
4.546792330E-1,2.682688475E0,-5.474718809E-1,-6.430694461E-1
4.643935040E-1,2.587396383E0,-5.401417017E-1,-6.760551929E-1
4.741069410E-1,2.457896709E0,-5.291464329E-1,-6.540647149E-1
4.838196500E-1,2.333283901E0,-5.743491650E-1,-5.795413256E-1
4.935331910E-1,2.216001034E0,-5.963396430E-1,-5.025745630E-1
5.032474620E-1,2.131704330E0,-4.790569544E-1,-4.622586668E-1
5.129609000E-1,2.123152256E0,-2.970244884E-1,-4.708105326E-1
5.226736080E-1,2.151251316E0,-7.467607409E-2,-4.940227270E-1
5.323871500E-1,2.154916525E0,4.749337584E-2,-4.818057716E-1
5.421014200E-1,2.107270241E0,-5.039489828E-3,-4.451549351E-1
5.518148580E-1,1.985100865E0,-1.174353883E-1,-3.694098890E-1
5.615275660E-1,1.771304369E0,-2.066190839E-1,-2.728960216E-1
5.712411080E-1,1.552621007E0,-2.408265322E-1,-1.763821393E-1
5.809553790E-1,1.408461094E0,-1.956238300E-1,-1.067455560E-1
5.906688160E-1,1.352263093E0,-1.186570823E-1,-6.398624927E-2
6.003815250E-1,1.375475287E0,-7.589777559E-2,-2.489202656E-2
6.100950660E-1,1.395022392E0,3.405473381E-2,2.031067200E-2
6.198093370E-1,1.403574347E0,1.637070626E-1,7.162184268E-2
6.295227750E-1,1.399909258E0,2.223484069E-1,1.156028435E-1
6.392354830E-1,1.344932914E0,2.541124523E-1,1.375933439E-1
6.489490250E-1,1.256971002E0,3.090887070E-1,1.400367320E-1
6.586632950E-1,1.161526084E0,4.019374847E-1,1.058292910E-1
6.683767330E-1,1.077229142E0,5.546492934E-1,1.542389300E-2
6.780894410E-1,1.023474574E0,7.403468490E-1,-1.214058921E-1
6.878029830E-1,9.782719016E-1,8.674030900E-1,-2.557922900E-1
6.975173060E-1,8.927532434E-1,8.490777016E-1,-3.437542915E-1
7.072307430E-1,7.388197780E-1,6.413896084E-1,-3.828485310E-1
7.169434520E-1,5.164713860E-1,3.054236174E-1,-3.828485310E-1
7.266569930E-1,2.489202619E-1,-4.535540938E-2,-3.229855001E-1
7.363712640E-1,-2.748812549E-3,-2.970244884E-1,-2.203631550E-1
7.460847020E-1,-1.823379099E-1,-3.923166394E-1,-1.226275861E-1
7.557974100E-1,-2.812951505E-1,-4.094203711E-1,-5.665608495E-2
7.655109520E-1,-3.228327632E-1,-4.057552814E-1,-1.634016447E-2
7.752252230E-1,-3.216110766E-1,-3.972034156E-1,-4.581354442E-4
7.849387640E-1,-3.130592108E-1,-3.874298632E-1,-1.023169141E-2
7.946513680E-1,-3.338280320E-1,-3.910949528E-1,-7.788302377E-3
8.043649620E-1,-3.704788685E-1,-3.495573401E-1,8.093725890E-3
8.140792330E-1,-3.997995257E-1,-2.518217862E-1,2.764083818E-2
8.237926700E-1,-3.997995257E-1,-1.357607991E-1,3.374931216E-2
8.335053790E-1,-3.704788685E-1,-3.558185324E-2,3.741439432E-2
8.432189200E-1,-3.167243004E-1,1.939439960E-2,4.840964451E-2
8.529331910E-1,-2.800734639E-1,1.695101149E-2,6.184828654E-2
8.626467330E-1,-3.020639718E-1,1.206423342E-2,8.628217876E-2
8.723593890E-1,-3.851391971E-1,5.955760833E-3,1.094943732E-1
8.820729310E-1,-4.950917065E-1,8.399149403E-3,1.437018216E-1
8.917872020E-1,-6.245913506E-1,-1.969982497E-2,1.998997629E-1
9.015006390E-1,-7.797465324E-1,-8.567132801E-2,2.622061968E-1
9.112134000E-1,-9.666658044E-1,-1.553079188E-1,2.929012477E-1
9.209269410E-1,-1.145033240E0,-2.261662036E-1,2.548760176E-1
9.306412120E-1,-1.291636586E0,-2.799207568E-1,1.656923145E-1
9.403546500E-1,-1.404032469E0,-2.567085624E-1,5.696150661E-2
9.500673580E-1,-1.465117097E0,-2.090624720E-1,-4.443913698E-2
9.597809520E-1,-1.513984919E0,-1.748550236E-1,-1.226275861E-1
9.694952230E-1,-1.594616771E0,-2.090624720E-1,-1.324011385E-1
9.792086600E-1,-1.732668281E0,-3.434488773E-1,-5.176930502E-2
