"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.890500000E-2,-2.004287958E0,-1.069890857E0,-9.671489716E0
6.861833400E-2,-1.987538338E0,-1.077069283E0,-9.657133102E0
7.833083400E-2,-1.982752681E0,-1.081854939E0,-9.649954796E0
8.804260500E-2,-1.989931107E0,-1.079462171E0,-9.645169258E0
9.775510500E-2,-1.989931107E0,-1.057926655E0,-9.642776489E0
1.074684900E-1,-2.016252279E0,-1.048355460E0,-9.652347565E0
1.171809900E-1,-2.013859272E0,-1.043569803E0,-9.657133102E0
1.268927610E-1,-2.028216362E0,-1.050748229E0,-9.637990952E0
1.366052610E-1,-2.028216362E0,-1.072283626E0,-9.621240616E0
1.463186460E-1,-2.033001900E0,-1.079462171E0,-9.645169258E0
1.560311460E-1,-1.997109652E0,-1.100997567E0,-9.661918640E0
1.657429170E-1,-1.992323995E0,-1.100997567E0,-9.669096947E0
1.754554170E-1,-1.999502420E0,-1.093819022E0,-9.630811691E0
1.851688550E-1,-2.016252279E0,-1.077069283E0,-9.695418358E0
1.948813020E-1,-2.006680965E0,-1.057926655E0,-9.637990952E0
2.045930730E-1,-2.025823355E0,-1.057926655E0,-9.590133667E0
2.143056770E-1,-2.018645048E0,-1.077069283E0,-9.707382202E0
2.240190110E-1,-1.997109652E0,-1.093819022E0,-9.728918076E0
2.337314590E-1,-2.001895189E0,-1.093819022E0,-9.616455078E0
2.434432300E-1,-2.016252279E0,-1.086640596E0,-9.618847847E0
2.531558340E-1,-2.028216362E0,-1.079462171E0,-9.693025589E0
2.628691670E-1,-2.037787676E0,-1.062712312E0,-9.633204460E0
2.725816150E-1,-2.037787676E0,-1.053141117E0,-9.566205978E0
2.822933860E-1,-2.033001900E0,-1.053141117E0,-9.659525871E0
2.920059900E-1,-2.021037817E0,-1.062712312E0,-9.683454514E0
3.017193230E-1,-2.016252279E0,-1.067497969E0,-9.602098465E0
3.114317710E-1,-2.028216362E0,-1.041176915E0,-9.623633385E0
3.211435420E-1,-2.040180445E0,-1.036391258E0,-9.709774971E0
3.308561460E-1,-2.037787676E0,-1.043569803E0,-9.640383720E0
3.405694800E-1,-2.021037817E0,-1.029212832E0,-9.566205978E0
3.502819270E-1,-2.023430586E0,-1.045962572E0,-9.657133102E0
3.599936980E-1,-1.987538338E0,-1.043569803E0,-9.681061745E0
3.697063020E-1,-2.009073734E0,-1.038784146E0,-9.578169823E0
3.794196360E-1,-2.018645048E0,-1.010070205E0,-9.618847847E0
3.891320840E-1,-2.035394669E0,-9.933205247E-1,-9.707382202E0
3.988438550E-1,-2.028216362E0,-9.933205247E-1,-9.666704178E0
4.085564590E-1,-2.021037817E0,-1.002891779E0,-9.611669540E0
